"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-10
"Canada","Afghanistan",-9
"Czech Republic","Afghanistan",-7.2
"France","Afghanistan",-28
"Germany","Afghanistan",-7.2
"Iran","Afghanistan",-25
"Iraq","Afghanistan",-2
"Italy","Afghanistan",-2
"Netherlands","Afghanistan",-5
"Pakistan","Afghanistan",-370.6
"Russia","Afghanistan",-10
"Spain","Afghanistan",-10
"Tajikistan","Afghanistan",-5
"Turkey","Afghanistan",-10
"United Kingdom","Afghanistan",-9
"United States","Afghanistan",-486.4
"Bosnia and Herzegovina","Albania",-15
"Greece","Albania",-23.3
"Kosovo","Albania",-10
"Serbia","Albania",-25
"United States","Albania",-4
"Morocco","Algeria",-26
"Thailand","Algeria",-5
"United Kingdom","Algeria",-10
"South Africa","Angola",-8
"South Korea","Antarctica",-7.2
"Colombia","Argentina",-2
"France","Argentina",-6
"Iran","Argentina",-44
"Italy","Argentina",-5
"United States","Argentina",-25.4
"Azerbaijan","Armenia",-14
"Russia","Armenia",-16.4
"Turkey","Armenia",-24.5
"Afghanistan","Australia",-99
"Cambodia","Australia",-10
"China","Australia",-25.6
"Fiji","Australia",-24
"France","Australia",-2
"Hungary","Australia",-4
"Indonesia","Australia",-530
"Iraq","Australia",-37.5
"Italy","Australia",-2
"New Zealand","Australia",-20
"Nigeria","Australia",-4
"Papua New Guinea","Australia",-34.8
"Philippines","Australia",-10
"Sierra Leone","Australia",-4
"Singapore","Australia",-214
"South Africa","Australia",-9
"Sri Lanka","Australia",-40
"Timor-Leste","Australia",-9
"Tunisia","Australia",-5
"United Kingdom","Australia",-19
"United States","Australia",-24.2
"Vietnam","Australia",-2
"Germany","Austria",-4
"India","Austria",-5
"Turkey","Austria",-8
"United Kingdom","Austria",-2
"United States","Austria",-9.3
"Armenia","Azerbaijan",-29.5
"Cyprus","Azerbaijan",-4
"Russia","Azerbaijan",-10
"Ukraine","Azerbaijan",-276.5
"United States","Azerbaijan",-39.9
"India","Bangladesh",-114.9
"Indonesia","Bangladesh",-5
"Malaysia","Bangladesh",-9
"Nepal","Bangladesh",-9.2
"Romania","Bangladesh",-7
"Russia","Bangladesh",-10
"Turkey","Bangladesh",-5
"Japan","Belarus",-4
"Poland","Belarus",-4
"Ukraine","Belarus",-2
"United States","Belarus",-28.4
"Czech Republic","Belgium",-2
"France","Belgium",-2
"India","Belgium",-2
"Italy","Belgium",-2
"Nigeria","Belgium",-0.8
"Rwanda","Belgium",-5
"United States","Belgium",-5
"Thailand","Benin",-0.4
"Turkey","Benin",-9
"Australia","Bolivia",-10
"United States","Bolivia",-2
"Venezuela","Bolivia",-5
"Belgium","Bosnia and Herzegovina",-10
"China","Bosnia and Herzegovina",-2
"Croatia","Bosnia and Herzegovina",-4
"Germany","Bosnia and Herzegovina",-2
"Netherlands","Bosnia and Herzegovina",-5
"Portugal","Bosnia and Herzegovina",-2
"Serbia","Bosnia and Herzegovina",-13.2
"United States","Bosnia and Herzegovina",-0.6
