"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-5
"Belgium","Afghanistan",-5
"Canada","Afghanistan",-12
"Czech Republic","Afghanistan",-23.9
"Estonia","Afghanistan",-28.8
"France","Afghanistan",-38.8
"Germany","Afghanistan",-40.8
"India","Afghanistan",-1.2
"Iran","Afghanistan",-24
"Italy","Afghanistan",-46
"Japan","Afghanistan",-10
"Kenya","Afghanistan",-2
"Latvia","Afghanistan",-28.8
"Netherlands","Afghanistan",-36.1
"New Zealand","Afghanistan",-40
"Pakistan","Afghanistan",-142.6
"Poland","Afghanistan",-21.6
"Russia","Afghanistan",-2.4
"Saudi Arabia","Afghanistan",-5
"Spain","Afghanistan",-24.4
"Tajikistan","Afghanistan",-10
"Turkey","Afghanistan",-25
"United Kingdom","Afghanistan",-114
"United States","Afghanistan",-162
"Belgium","Albania",-2
"Kosovo","Albania",-9
"Montenegro","Albania",-5
"France","Algeria",-7
"Libya","Algeria",-2
"Spain","Algeria",-15
"China","Angola",-10
"Brazil","Argentina",-5
"Chile","Argentina",-2
"Ecuador","Argentina",-14
"Iran","Argentina",-36.8
"Israel","Argentina",-5
"Mexico","Argentina",-2
"Spain","Argentina",-2
"United States","Argentina",-13
"Uruguay","Argentina",-11
"Belarus","Armenia",-4
"Georgia","Armenia",-5
"Poland","Armenia",-2.4
"Turkey","Armenia",-4
"United States","Armenia",-0.4
"Afghanistan","Australia",-10
"Bermuda","Australia",-18
"Brazil","Australia",-4
"Canada","Australia",-4.4
"Fiji","Australia",-79.4
"India","Australia",-23
"Indonesia","Australia",-105
"Iraq","Australia",-19
"Ireland","Australia",-7
"Malaysia","Australia",-14
"Mexico","Australia",-22
"New Zealand","Australia",-31
"Papua New Guinea","Australia",-31
"Philippines","Australia",-7.5
"Singapore","Australia",-15
"Solomon Islands","Australia",-2.1
"Somalia","Australia",-5
"Spain","Australia",-5
"Thailand","Australia",-6
"Timor-Leste","Australia",-4
"Tonga","Australia",-0.3
"United Kingdom","Australia",-11.4
"United States","Australia",-55.7
"Yemen","Australia",-185
"Cyprus","Austria",-5
"France","Austria",-9
"Greece","Austria",-5
"Iraq","Austria",-18
"Slovakia","Austria",-15
"United Kingdom","Austria",-2
"Armenia","Azerbaijan",-82.2
"Georgia","Azerbaijan",-9
"Hungary","Azerbaijan",-5
"Iran","Azerbaijan",-11.3
"Netherlands","Azerbaijan",-4
"Russia","Azerbaijan",-9
"United States","Azerbaijan",-9.4
