"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-57.2
"Austria","Afghanistan",-5
"Canada","Afghanistan",-10
"Croatia","Afghanistan",-7.2
"Denmark","Afghanistan",-5
"France","Afghanistan",-67.6
"Germany","Afghanistan",-85.8
"India","Afghanistan",-20
"Indonesia","Afghanistan",-35
"Iran","Afghanistan",-5
"Iraq","Afghanistan",-14.4
"Israel","Afghanistan",-10
"Jordan","Afghanistan",-90
"Moldova, Republic of","Afghanistan",-7.2
"Netherlands","Afghanistan",-7.2
"Norway","Afghanistan",-7.2
"Pakistan","Afghanistan",-309.6
"Romania","Afghanistan",-14.4
"Russia","Afghanistan",-4
"Saudi Arabia","Afghanistan",-5
"Slovakia","Afghanistan",-21.6
"Sweden","Afghanistan",-7.2
"Tajikistan","Afghanistan",-10
"Uganda","Afghanistan",-2
"United Arab Emirates","Afghanistan",-9
"United Kingdom","Afghanistan",-32
"United States","Afghanistan",-806.9
"Finland","Albania",-4
"France","Algeria",-9
"Pakistan","Algeria",-5
"Syria","Algeria",-2
"United States","Algeria",-2
"France","Angola",-6
"Togo","Angola",-20
"United Kingdom","Antarctica",-2
"Colombia","Argentina",-2
"Germany","Argentina",-34
"Spain","Argentina",-15
"United Kingdom","Argentina",-53
"Uruguay","Argentina",-2.3
"Azerbaijan","Armenia",-10
"Russia","Armenia",-10
"Turkey","Armenia",-55.2
"United States","Armenia",-5
"Afghanistan","Australia",-21
"Antarctica","Australia",-6.5
"China","Australia",-5
"Denmark","Australia",-9
"Fiji","Australia",-10
"India","Australia",-70.8
"Indonesia","Australia",-73.2
"Iran","Australia",-9
"Japan","Australia",-20
"Lebanon","Australia",-5
"Myanmar","Australia",-10
"New Zealand","Australia",-5
"North Korea","Australia",-5
"Philippines","Australia",-9
"Singapore","Australia",-2
"South Africa","Australia",-5
"Sri Lanka","Australia",-23.5
"Thailand","Australia",-5
"United Kingdom","Australia",-5
"United States","Australia",-112
"Vietnam","Australia",-7.4
"Armenia","Azerbaijan",-399
"China","Azerbaijan",-18
"Iran","Azerbaijan",-2
"Russia","Azerbaijan",-5
"Cambodia","Bangladesh",-4
"India","Bangladesh",-29
"Pakistan","Bangladesh",-5
"Singapore","Bangladesh",-7
"Guyana","Barbados",-4
"Russia","Belarus",-62.4
"South Africa","Belarus",-5
"Congo","Belgium",-2
"Israel","Belgium",-10
"Sudan","Belgium",-5
"United States","Belgium",-35
"Nigeria","Benin",-19
"Argentina","Bolivia",-9
"Brazil","Bolivia",-0.4
"Nicaragua","Bolivia",-2.4
"United States","Bolivia",-6
"Uruguay","Bolivia",-0.4
"Venezuela","Bolivia",-2.4
"United States","Bosnia and Herzegovina",-12
"Zimbabwe","Botswana",-12
"Argentina","Brazil",-5
"France","Brazil",-5
"Haiti","Brazil",-5
"Honduras","Brazil",-5
"Israel","Brazil",-2
"United States","Brazil",-5
"Germany","Bulgaria",-5
"Sweden","Bulgaria",-4
"Turkey","Bulgaria",-10.8
"Guinea","Burkina Faso",-5
"Australia","Cambodia",-4
"Brunei","Cambodia",-2
"Philippines","Cambodia",-2
"Thailand","Cambodia",-297
"Afghanistan","Canada",-20
"Australia","Canada",-10
"Bangladesh","Canada",-5
"Germany","Canada",-2
"Haiti","Canada",-5
"Indonesia","Canada",-7
"Japan","Canada",-20
"Mexico","Canada",-15
"Saudi Arabia","Canada",-12
"United Kingdom","Canada",-10
"United States","Canada",-58
"Chad","Central African Republic",-10
"Cote d'Ivoire","Central African Republic",-2
"Uganda","Central African Republic",-10
"Sudan","Chad",-12
"Bolivia","Chile",-9.5
"Peru","Chile",-4
"Spain","Chile",-9.2
"United Kingdom","Chile",-5
"United States","Chile",-5
"Afghanistan","China",-90
"Argentina","China",-58
"Azerbaijan","China",-15
"Belgium","China",-5
"Canada","China",-9.8
"Congo","China",-5
"Costa Rica","China",-10
"France","China",-17
"Germany","China",-2
"Hong Kong","China",-13
"India","China",-39
"Indonesia","China",-6.5
"Japan","China",-35.4
"Kyrgyzstan","China",-2
"Nepal","China",-22.2
"North Korea","China",-35
"Philippines","China",-5
"Russia","China",-5
"Sudan","China",-2
"Taiwan","China",-15
"Thailand","China",-4
"United Kingdom","China",-11
"United States","China",-160
"Vietnam","China",-4
"Australia","Christmas Island",-13.2
"Bolivia","Colombia",-8
"Ecuador","Colombia",-13
"India","Colombia",-6.5
"Mexico","Colombia",-10
"Nigeria","Colombia",-18
"Pakistan","Colombia",-10
"Panama","Colombia",-24
"United Kingdom","Colombia",-9
"United States","Colombia",-29
"Venezuela","Colombia",-31
"Rwanda","Congo",-8
"United States","Cook Island",-5
"El Salvador","Costa Rica",-5
"Nicaragua","Costa Rica",-2
"France","Cote d'Ivoire",-4
"Liberia","Cote d'Ivoire",-7.2
"Bosnia and Herzegovina","Croatia",-2
"Serbia","Croatia",-25
"Slovenia","Croatia",-15
"Tajikistan","Croatia",-5
"Haiti","Cuba",-2
"Slovakia","Cuba",-4
"Spain","Cuba",-2
"United States","Cuba",-59
"Canada","Czech Republic",-5
"France","Czech Republic",-4
"Israel","Czech Republic",-18
"Slovakia","Czech Republic",-10
"France","Democratic Republic of Congo",-9
"Tanzania","Democratic Republic of Congo",-2
"Uganda","Democratic Republic of Congo",-29
"Somalia","Denmark",-93.5
"Somalia","Djibouti",-4
"Yemen","Djibouti",-10
"Haiti","Dominican Republic",-30
"India","Dominican Republic",-5
"Colombia","Ecuador",-10
"France","Egypt",-15
"India","Egypt",-10
"Jordan","Egypt",-6.5
"Lebanon","Egypt",-6.5
"Saudi Arabia","Egypt",-5
"Sudan","Egypt",-9
"Syria","Egypt",-2
"United Kingdom","Egypt",-13
"Mexico","El Salvador",-9
"United States","El Salvador",-15
"Egypt","Eritrea",-20
"Ethiopia","Eritrea",-21
"Israel","Eritrea",-5
"Libya","Eritrea",-9.5
"Philippines","Eritrea",-2
"Eritrea","Ethiopia",-2
"Lebanon","Ethiopia",-2
"Rwanda","Ethiopia",-10
