"SCountry","TCountry","Intensity"
"China","Afghanistan",-0.4
"Cuba","Afghanistan",-5
"Czech Republic","Afghanistan",-14.4
"Germany","Afghanistan",-5
"India","Afghanistan",-10
"Iraq","Afghanistan",-20
"Kosovo","Afghanistan",-10
"Pakistan","Afghanistan",-187.5
"Tunisia","Afghanistan",-9
"United Kingdom","Afghanistan",-12.2
"United States","Afghanistan",-106.7
"Greece","Albania",-25
"United Kingdom","Albania",-5
"France","Algeria",-4
"Israel","Algeria",-20
"Mali","Algeria",-2
"United States","Algeria",-7.2
"Cape Verde","Angola",-5
"Nigeria","Angola",-2
"Ecuador","Argentina",-5
"Paraguay","Argentina",-4
"United States","Argentina",-41
"Uruguay","Argentina",-6
"Argentina","Armenia",-0.3
"Azerbaijan","Armenia",-44.4
"Russia","Armenia",-4
"United States","Armenia",-16
"Venezuela","Aruba",-17.8
"China","Australia",-22
"Croatia","Australia",-10
"Germany","Australia",-10
"Greece","Australia",-9
"Hong Kong","Australia",-5
"Indonesia","Australia",-25
"Iran","Australia",-30
"Iraq","Australia",-29
"Israel","Australia",-10
"Japan","Australia",-35
"Jordan","Australia",-0.4
"Malaysia","Australia",-5
"Marshall Islands","Australia",-2
"New Zealand","Australia",-0.8
"Philippines","Australia",-156
"Russia","Australia",-31
"Sri Lanka","Australia",-42.2
"Sweden","Australia",-5
"United Kingdom","Australia",-73
"United States","Australia",-4
"Latvia","Austria",-2
"Armenia","Azerbaijan",-55
"Russia","Azerbaijan",-30
"Afghanistan","Bahrain",-7
"Iran","Bahrain",-14
"Israel","Bahrain",-20
"Saudi Arabia","Bahrain",-5
"United States","Bahrain",-5.2
"Australia","Bangladesh",-5
"India","Bangladesh",-47.4
"Iraq","Bangladesh",-9.5
"Ukraine","Belarus",-15
"Italy","Belgium",-4
"Luxembourg","Belgium",-10
"Russia","Belgium",-14
"United Kingdom","Belgium",-5
"Nigeria","Benin",-5
"United States","Benin",-5
"India","Bermuda",-8.5
"Chile","Bolivia",-2
"Serbia","Bosnia and Herzegovina",-45
"United States","Bosnia and Herzegovina",-2
"Austria","Botswana",-4
"Namibia","Botswana",-2
"Uganda","Botswana",-2
"Argentina","Brazil",-5
"India","Brazil",-4.4
"Israel","Brazil",-4
"Mexico","Brazil",-9.5
"Paraguay","Brazil",-2
"Russia","Brazil",-5
"United States","Brazil",-2
"Uruguay","Brazil",-2
"Georgia","Bulgaria",-2
"Benin","Burkina Faso",-5
"Hungary","Cambodia",-4
"Thailand","Cambodia",-34
"United States","Cambodia",-0.3
"Nigeria","Cameroon",-370
"Argentina","Canada",-2
"Cambodia","Canada",-5
"China","Canada",-4
"Egypt","Canada",-15
"Germany","Canada",-4
"Indonesia","Canada",-10
"Liberia","Canada",-2
"United Kingdom","Canada",-7
"United States","Canada",-31
"Switzerland","Cayman Islands",-2
"France","Central African Republic",-4
"Niger","Central African Republic",-20
"Uganda","Central African Republic",-34.4
"Nigeria","Chad",-5
"Bolivia","Chile",-20
"Italy","Chile",-5
"Norway","Chile",-5
"Puerto Rico","Chile",-2
"Spain","Chile",-15
"United States","Chile",-66.2
"Australia","China",-4
"Cambodia","China",-5
"Canada","China",-13
"Dominican Republic","China",-10
"Finland","China",-10
"Germany","China",-5
"Hong Kong","China",-42.4
"India","China",-10.4
"Indonesia","China",-2
"Japan","China",-100.2
"Nepal","China",-5
"North Korea","China",-4
"Philippines","China",-28.4
"South Africa","China",-5
"South Korea","China",-16.9
"Sri Lanka","China",-4
"Taiwan","China",-2.4
"United Kingdom","China",-4
"United States","China",-108.8
"Vietnam","China",-34.9
"Zimbabwe","China",-10
"Afghanistan","Colombia",-10
"Brazil","Colombia",-5
"India","Colombia",-2
"Morocco","Colombia",-10
"Portugal","Colombia",-9.2
"Spain","Colombia",-15
"United States","Colombia",-24
"Venezuela","Colombia",-10
"France","Comoros",-4
"Democratic Republic of Congo","Congo",-4
"Gabon","Congo",-20
"Netherlands","Congo",-5
"Uruguay","Costa Rica",-4.4
"Czech Republic","Cote d'Ivoire",-5
"France","Cote d'Ivoire",-7.2
"Netherlands","Cote d'Ivoire",-15
"Sudan","Cote d'Ivoire",-5
"Serbia","Croatia",-5
"Colombia","Cuba",-10.8
"Costa Rica","Cuba",-2
"Honduras","Cuba",-10
"Russia","Cuba",-2
"Spain","Cuba",-10
"United States","Cuba",-13
"Venezuela","Curaçao",-5
"Greece","Cyprus",-0.4
"Afghanistan","Czech Republic",-30
"South Africa","Czech Republic",-4
"Uganda","Democratic Republic of Congo",-19
"Rwanda","Denmark",-5
"Ecuador","Dominican Republic",-9
"Holy See","Dominican Republic",-5
"Argentina","Ecuador",-5
"Australia","Egypt",-13
"Greece","Egypt",-25
"Iran","Egypt",-19.5
"Iraq","Egypt",-10
"Israel","Egypt",-60
"Jordan","Egypt",-0.4
"Lebanon","Egypt",-2
"Libya","Egypt",-23
"Madagascar","Egypt",-10
"Peru","Egypt",-5
"Sudan","Egypt",-2
"Tunisia","Egypt",-4
"Turkey","Egypt",-74
"United States","Egypt",-35
"Yemen","Egypt",-12
"Israel","El Salvador",-2
"Mexico","El Salvador",-9
"United States","El Salvador",-4
"France","Equatorial Guinea",-8
"Sudan","Eritrea",-5
"Sweden","Eritrea",-2
"France","Ethiopia",-10
"Somalia","Ethiopia",-9
"Yemen","Ethiopia",-102
"Argentina","Falkland Islands",-2
"Kenya","Fiji",-4.4
"Tonga","Fiji",-5
"Afghanistan","Finland",-19
"Algeria","France",-6
"Belgium","France",-14
"China","France",-0.1
"Equatorial Guinea","France",-8
"Estonia","France",-0.4
"Finland","France",-4
"Germany","France",-0.8
"Iran","France",-28
"Israel","France",-9.2
"Italy","France",-0.8
"Japan","France",-1.6
"Morocco","France",-10
"Netherlands","France",-6.5
"New Zealand","France",-2
"Nigeria","France",-29.9
"Russia","France",-0.8
"Rwanda","France",-2
"Spain","France",-10
"Turkey","France",-6.5
"United Kingdom","France",-8
"United States","France",-58.2
"Venezuela","France",-9.5
"France","French Polynesia",-4
"Somalia","Gabon",-19
"Czech Republic","Georgia",-10
"France","Georgia",-5
"Italy","Georgia",-5
"Russia","Georgia",-37.9
"United States","Georgia",-25.8
"Austria","Germany",-4
"Bosnia and Herzegovina","Germany",-2
"Cameroon","Germany",-9
"China","Germany",-10
"France","Germany",-0.8
"Indonesia","Germany",-2
"Iran","Germany",-5
"Italy","Germany",-4.8
"Japan","Germany",-0.8
"Libya","Germany",-0.4
"Malaysia","Germany",-5
"Mexico","Germany",-5
"Nigeria","Germany",-43
"Philippines","Germany",-9
"Poland","Germany",-5.4
"Russia","Germany",-0.4
"South Africa","Germany",-2
"Turkey","Germany",-0.4
"United Kingdom","Germany",-0.4
"United States","Germany",-50.8
"Zimbabwe","Germany",-9
"Nigeria","Ghana",-11.5
"Norway","Ghana",-8.8
"United Kingdom","Ghana",-2
"Albania","Greece",-9
"Cyprus","Greece",-0.4
"Hungary","Greece",-9
"Turkey","Greece",-7.2
"Taiwan","Guatemala",-10
"United States","Guatemala",-26
"Colombia","Guinea-Bissau",-4
"Barbados","Guyana",-5
"Bahamas","Haiti",-5
"South Korea","Haiti",-9
"Gambia","Holy See",-2
"Israel","Holy See",-0.4
"United States","Holy See",-2
"Mexico","Honduras",-15
"United States","Honduras",-29
"China","Hong Kong",-2
"United Kingdom","Hong Kong",-5
"Bulgaria","Hungary",-0.3
"Thailand","Hungary",-5
"Afghanistan","India",-28
"Argentina","India",-5
"Australia","India",-4.4
"Azerbaijan","India",-2
"Bahrain","India",-5
"Bangladesh","India",-18.4
