"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-178.6
"Canada","Afghanistan",-37.2
"Denmark","Afghanistan",-7.2
"Estonia","Afghanistan",-14.4
"Georgia","Afghanistan",-7.2
"Germany","Afghanistan",-21.6
"Greece","Afghanistan",-4
"India","Afghanistan",-0.8
"Indonesia","Afghanistan",-20
"Iran","Afghanistan",-15
"Italy","Afghanistan",-10
"Lesotho","Afghanistan",-8.4
"Macao","Afghanistan",-10
"Malaysia","Afghanistan",-5
"Netherlands","Afghanistan",-38.8
"Pakistan","Afghanistan",-237.6
"Poland","Afghanistan",-7.2
"Slovakia","Afghanistan",-9.5
"South Korea","Afghanistan",-7.2
"Spain","Afghanistan",-7.2
"Sri Lanka","Afghanistan",-5
"Turkey","Afghanistan",-17.8
"United Kingdom","Afghanistan",-5
"United States","Afghanistan",-742.900000000001
"Uzbekistan","Afghanistan",-5
"Greece","Albania",-10
"Kosovo","Albania",-15
"Norway","Albania",-5
"Serbia","Albania",-27
"United Kingdom","Albania",-14
"Uganda","Algeria",-2
"United States","Algeria",-9
"France","Angola",-2
"Holy See","Angola",-2
"Portugal","Angola",-5
"Brazil","Argentina",-18
"Cuba","Argentina",-8
"Ecuador","Argentina",-0.1
"Falkland Islands","Argentina",-2
"Spain","Argentina",-9.2
"United Kingdom","Argentina",-15.1
"United States","Argentina",-4.4
"Uruguay","Argentina",-22
"Azerbaijan","Armenia",-2.4
"Iran","Armenia",-5
"Russia","Armenia",-4
"Afghanistan","Australia",-199
"China","Australia",-18.5
"Croatia","Australia",-5
"Hungary","Australia",-7
"India","Australia",-25
"Indonesia","Australia",-5
"Iraq","Australia",-2
"Kuwait","Australia",-10
"Papua New Guinea","Australia",-5
"Philippines","Australia",-2
"Pitcairn","Australia",-2
"Singapore","Australia",-5
"Thailand","Australia",-5
"Timor-Leste","Australia",-7.2
"United Arab Emirates","Australia",-20
"United Kingdom","Australia",-6
"United States","Australia",-34.5
"Argentina","Austria",-4
"Croatia","Austria",-5
"Germany","Austria",-20.4
"Mexico","Austria",-5
"Slovakia","Austria",-2
"Slovenia","Austria",-5
"United States","Austria",-10
"Armenia","Azerbaijan",-210
"Iran","Azerbaijan",-10
"Russia","Azerbaijan",-20
"Turkey","Azerbaijan",-6
"United Kingdom","Azerbaijan",-2
"Sudan","Bahrain",-2
"India","Bangladesh",-54
"Indonesia","Bangladesh",-14.2
"Myanmar","Bangladesh",-7.2
"Nepal","Bangladesh",-5
"Pakistan","Bangladesh",-7
"Saudi Arabia","Bangladesh",-19
"United Kingdom","Bangladesh",-12
"United States","Bangladesh",-8
"United States","Barbados",-24.4
"Austria","Belarus",-9
"France","Belarus",-2
"Japan","Belarus",-2
"Netherlands","Belarus",-2
"Russia","Belarus",-10
"United States","Belarus",-12
"Belarus","Belgium",-0.3
"Brazil","Belgium",-5
