"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-7.2
"Belgium","Afghanistan",-4
"Bulgaria","Afghanistan",-10
"Canada","Afghanistan",-161.2
"Comoros","Afghanistan",-5
"Czech Republic","Afghanistan",-21.6
"France","Afghanistan",-17.2
"Germany","Afghanistan",-0.4
"India","Afghanistan",-19
"Iran","Afghanistan",-25
"Iraq","Afghanistan",-9
"Ireland","Afghanistan",-30
"Malaysia","Afghanistan",-8
"Mexico","Afghanistan",-2
"Nepal","Afghanistan",-5
"Netherlands","Afghanistan",-14.4
"Pakistan","Afghanistan",-345.6
"Russia","Afghanistan",-0.4
"Sierra Leone","Afghanistan",-2
"South Korea","Afghanistan",-5
"Spain","Afghanistan",-7.2
"Sri Lanka","Afghanistan",-2
"United Kingdom","Afghanistan",-39.4
"United States","Afghanistan",-810.8
"Uzbekistan","Afghanistan",-10
"Zimbabwe","Afghanistan",-4
"Belgium","Albania",-5
"China","Albania",-16
"Czech Republic","Albania",-20
"Greece","Albania",-13
"Kosovo","Albania",-5
"Serbia","Albania",-5
"Spain","Albania",-5
"Uzbekistan","Albania",-2
"Bosnia and Herzegovina","Algeria",-5
"France","Algeria",-10
"United States","Algeria",-5
"Portugal","Angola",-4
"Austria","Argentina",-9.5
"Bolivia","Argentina",-10
"Mexico","Argentina",-5
"South Africa","Argentina",-2
"United Kingdom","Argentina",-2
"United States","Argentina",-9
"Uruguay","Argentina",-6
"Azerbaijan","Armenia",-13
"Russia","Armenia",-9.5
"Sweden","Armenia",-9
"Turkey","Armenia",-9.5
"Afghanistan","Australia",-14
"Botswana","Australia",-2
"Canada","Australia",-2.6
"China","Australia",-2
"Fiji","Australia",-17.6
"Holy See","Australia",-2
"Indonesia","Australia",-110
"Iraq","Australia",-19.5
"Ireland","Australia",-15.7
"Japan","Australia",-4.4
"Nauru","Australia",-2
"New Zealand","Australia",-9.5
"Pakistan","Australia",-7
"Papua New Guinea","Australia",-7
"Philippines","Australia",-2.4
"Portugal","Australia",-4
"Sierra Leone","Australia",-5
"Solomon Islands","Australia",-55
"Taiwan","Australia",-2
"Timor-Leste","Australia",-24
"Uganda","Australia",-5
"United Kingdom","Australia",-28
"United States","Australia",-35
"Argentina","Austria",-10
"Brazil","Austria",-5
"Colombia","Austria",-5
"Croatia","Austria",-10
"Norway","Austria",-4
"Portugal","Austria",-4
"United States","Austria",-9
"Venezuela","Austria",-9
"Armenia","Azerbaijan",-13
"Iran","Azerbaijan",-21.2
"Spain","Azerbaijan",-5
"United States","Azerbaijan",-7.2
"Australia","Bangladesh",-2
"India","Bangladesh",-70
"Indonesia","Bangladesh",-2
"Tajikistan","Bangladesh",-5
"Turkey","Bangladesh",-10
"United States","Bangladesh",-9.4
"Estonia","Belarus",-20
"Georgia","Belarus",-6.8
"Japan","Belarus",-0.4
"Kenya","Belarus",-5.8
"Poland","Belarus",-2
"Ukraine","Belarus",-2
"United States","Belarus",-56
"Pakistan","Belgium",-5
"Portugal","Belgium",-2
"Spain","Belgium",-7
"United States","Belgium",-15
"Argentina","Bolivia",-14
"Belgium","Bolivia",-4
"Brazil","Bolivia",-9.2
"Chile","Bolivia",-9.5
"France","Bolivia",-5
"Mexico","Bolivia",-5
"Peru","Bolivia",-35
"Spain","Bolivia",-21.6
"United States","Bolivia",-21.6
"Venezuela","Bolivia",-13.5
"Afghanistan","Bosnia and Herzegovina",-5
"Portugal","Bosnia and Herzegovina",-4
"Serbia","Bosnia and Herzegovina",-45
"Sweden","Bosnia and Herzegovina",-7
"Turkey","Bosnia and Herzegovina",-7
"Zimbabwe","Botswana",-18
"Bolivia","Brazil",-36.2
"Czech Republic","Brazil",-10
"France","Brazil",-10
"Mexico","Brazil",-20
"South Africa","Brazil",-7.2
"Spain","Brazil",-10
"United States","Brazil",-5
"United Kingdom","British Indian Ocean Territory",-10
"Iraq","Bulgaria",-10
"Italy","Bulgaria",-5
"Latvia","Bulgaria",-0.3
"Tanzania","Burundi",-25
"Kenya","Cambodia",-2
"Papua New Guinea","Cambodia",-5
"United States","Cambodia",-8
"India","Cameroon",-6.5
"United States","Cameroon",-10
"Afghanistan","Canada",-168
"Australia","Canada",-4.4
"Belarus","Canada",-2
"China","Canada",-10
"Costa Rica","Canada",-5
"Indonesia","Canada",-5
"Iran","Canada",-20
"Ireland","Canada",-5
"Japan","Canada",-9
"New Zealand","Canada",-9.5
"Poland","Canada",-9
"Senegal","Canada",-5
"Suriname","Canada",-2
"Turkey","Canada",-54
"United States","Canada",-13
"Sudan","Chad",-87.5
"Argentina","Chile",-19
"India","Chile",-2
"Mexico","Chile",-43
"Peru","Chile",-18.8
"Philippines","Chile",-9
"Spain","Chile",-5
"United States","Chile",-4.4
"Albania","China",-8
"Australia","China",-15
"Canada","China",-5
"Chile","China",-4
"Cuba","China",-5
"France","China",-5
"Germany","China",-10
"Holy See","China",-89.2
"Hong Kong","China",-27.4
"Indonesia","China",-9
"Iran","China",-19
"Israel","China",-14
"Italy","China",-2
"Japan","China",-54.5
"Malaysia","China",-5
"Mexico","China",-5
"Nicaragua","China",-4
"North Korea","China",-33
"Russia","China",-5
"Singapore","China",-9
"Slovakia","China",-5
"South Africa","China",-7
"South Korea","China",-32
"Taiwan","China",-75.9
"Timor-Leste","China",-20
"Turkey","China",-9
"United Kingdom","China",-5
"United States","China",-178.6
"Bolivia","Colombia",-2
"Brazil","Colombia",-10
"Dominican Republic","Colombia",-10
"Ecuador","Colombia",-17
"Guatemala","Colombia",-9
"Hong Kong","Colombia",-35
"India","Colombia",-4
"Mexico","Colombia",-2
"Nigeria","Colombia",-6.4
"Peru","Colombia",-5
"United States","Colombia",-10
"Venezuela","Colombia",-28
"United States","Comoros",-5
"Central African Republic","Congo",-9
"Democratic Republic of Congo","Congo",-45
"Rwanda","Congo",-36
"Uganda","Congo",-64.5
"United States","Cook Island",-2
"Nicaragua","Costa Rica",-4.4
"Peru","Costa Rica",-5
"Taiwan","Costa Rica",-5
"United States","Costa Rica",-5
"Venezuela","Costa Rica",-18
"Australia","Cote d'Ivoire",-2
"France","Cote d'Ivoire",-2
"Bosnia and Herzegovina","Croatia",-10
"Serbia","Croatia",-13
"United States","Croatia",-5.6
"Afghanistan","Cuba",-5
"Belize","Cuba",-2
"Germany","Cuba",-9.5
"Mexico","Cuba",-19
"Paraguay","Cuba",-5
"Puerto Rico","Cuba",-5
"United States","Cuba",-37.4
"United States","Curaçao",-10
"Russia","Cyprus",-2
"Turkey","Cyprus",-12
"United States","Cyprus",-2
"Estonia","Czech Republic",-4
"Germany","Czech Republic",-19.5
"Poland","Czech Republic",-5
"Slovakia","Czech Republic",-5
"South Korea","Czech Republic",-9.5
"United States","Czech Republic",-4
"Congo","Democratic Republic of Congo",-45
"Germany","Democratic Republic of Congo",-7.2
"Kenya","Democratic Republic of Congo",-9
"Nepal","Democratic Republic of Congo",-4
"Rwanda","Democratic Republic of Congo",-10
"Uganda","Democratic Republic of Congo",-4.8
"Cyprus","Denmark",-4
"Ethiopia","Denmark",-7
"Iceland","Denmark",-4
"Russia","Denmark",-2
"Singapore","Denmark",-5
"United Kingdom","Denmark",-5
"Panama","Dominican Republic",-5
"Belgium","Ecuador",-4
"China","Ecuador",-2
"Colombia","Ecuador",-9
"Peru","Ecuador",-2
"Spain","Ecuador",-24
"Switzerland","Ecuador",-9
"United States","Ecuador",-30
"Venezuela","Ecuador",-2
"France","Egypt",-7.2
"Israel","Egypt",-40
"Kuwait","Egypt",-23
"Lebanon","Egypt",-10
"Pakistan","Egypt",-5
"United States","Egypt",-46.9
"Yemen","Egypt",-5
"Mexico","El Salvador",-5
"United States","El Salvador",-12
"Ethiopia","Eritrea",-28
"Czech Republic","Estonia",-4
"Lithuania","Estonia",-4
"Russia","Estonia",-4
"United States","Estonia",-2
"Eritrea","Ethiopia",-2
"Germany","Ethiopia",-23.5
"Somalia","Ethiopia",-2
"Tanzania","Ethiopia",-5
"Australia","Fiji",-5
"India","Fiji",-2
"Jamaica","Fiji",-2
"Japan","Fiji",-8.8
"Sweden","Finland",-7.2
"Uruguay","Finland",-2
"Afghanistan","France",-18
"Australia","France",-15
"Benin","France",-2
"Bolivia","France",-4
"Burundi","France",-5
"Canada","France",-5
"Chad","France",-10
"China","France",-41
"Colombia","France",-10
"Cote d'Ivoire","France",-4
"Democratic Republic of Congo","France",-5
"Ecuador","France",-4.4
"Egypt","France",-8
"Ethiopia","France",-7
"Germany","France",-10
"Greece","France",-9.5
"India","France",-5
"Iran","France",-6
"Iraq","France",-18
"Kenya","France",-5
"Lebanon","France",-4
"Mali","France",-32.5
"Morocco","France",-5
"Nepal","France",-4
"Netherlands","France",-12
"Nigeria","France",-2
"Russia","France",-68
"Rwanda","France",-4
"Senegal","France",-4
"Spain","France",-2
"Sweden","France",-27
"Syria","France",-9
"Turkey","France",-120.4
"United Kingdom","France",-37
"United States","France",-259
"Venezuela","France",-2
"Brazil","French Guiana",-10
"China","Gambia",-4
"Nigeria","Gambia",-5
"Belarus","Georgia",-4
"Russia","Georgia",-73
"Turkey","Georgia",-5
"Ukraine","Georgia",-5
"United Arab Emirates","Georgia",-15
"United States","Georgia",-29.2
"Austria","Germany",-2
"Chile","Germany",-7
"China","Germany",-4
"Czech Republic","Germany",-9
"France","Germany",-5
"Georgia","Germany",-4
"Greece","Germany",-47
"Iran","Germany",-16
"Italy","Germany",-2
"Lithuania","Germany",-2
"Mexico","Germany",-5
"Nicaragua","Germany",-2
"Pakistan","Germany",-14
"Philippines","Germany",-5
"Poland","Germany",-10
"Russia","Germany",-19
"Spain","Germany",-5
"Switzerland","Germany",-2
"Turkey","Germany",-10
"United Kingdom","Germany",-34.4
"United States","Germany",-59
"China","Ghana",-4
"Germany","Greece",-19
"Turkey","Greece",-51.7
"United States","Greece",-5
"South Korea","Grenada",-18
"Ukraine","Guam",-5
"Colombia","Guatemala",-9
"Mexico","Guatemala",-10
"Nicaragua","Guatemala",-5
"Philippines","Guatemala",-10
"Spain","Guatemala",-7
"Uganda","Guatemala",-20
"United States","Guatemala",-14.5
"Sierra Leone","Guinea",-6
"United States","Guyana",-10
"Chile","Haiti",-10.8
"China","Haiti",-10
"Uruguay","Haiti",-7.2
"Venezuela","Haiti",-4
"China","Holy See",-113
"Hong Kong","Holy See",-9
"India","Holy See",-2
"Italy","Holy See",-9
"Guatemala","Honduras",-5
"Mexico","Honduras",-10
"United States","Honduras",-5
"China","Hong Kong",-30
"Indonesia","Hong Kong",-5
"Macao","Hong Kong",-10
"Azerbaijan","Hungary",-6.5
"Croatia","Hungary",-10
"France","Hungary",-2
"Russia","Hungary",-19
"Afghanistan","India",-302
"Australia","India",-5.6
"Bahrain","India",-20
"Bangladesh","India",-36.6
"Canada","India",-2
"Colombia","India",-7
"Fiji","India",-12
"Italy","India",-2
"Japan","India",-5.4
"Kuwait","India",-9
"Malaysia","India",-5
"Maldives","India",-20
"Morocco","India",-5
"Nepal","India",-14
"New Zealand","India",-2
"Pakistan","India",-244.4
"Peru","India",-2
"Philippines","India",-10
"Portugal","India",-5
"Singapore","India",-6
"Sri Lanka","India",-33.4
"Sudan","India",-2
"Trinidad and Tobago","India",-5
"Tunisia","India",-2
"United Arab Emirates","India",-18
"United Kingdom","India",-10
"United States","India",-25
"Australia","Indonesia",-14
"China","Indonesia",-24
"Iran","Indonesia",-5
"Japan","Indonesia",-21.4
"Malaysia","Indonesia",-30
"Papua New Guinea","Indonesia",-32
"Somalia","Indonesia",-9
"Timor-Leste","Indonesia",-9
"United States","Indonesia",-35.8
"Australia","Iran",-2
"Azerbaijan","Iran",-61
"Canada","Iran",-5
"China","Iran",-45.8
"Cuba","Iran",-5
"Egypt","Iran",-0.4
"France","Iran",-10.3
"Germany","Iran",-9.3
"India","Iran",-10
"Indonesia","Iran",-2.4
"Iraq","Iran",-82.8
"Israel","Iran",-89.2
"Japan","Iran",-26
"Jordan","Iran",-0.4
"Kuwait","Iran",-1.2
"Lebanon","Iran",-39
"Moldova, Republic of","Iran",-8
"Pakistan","Iran",-25.9
"Russia","Iran",-36.2
"Saudi Arabia","Iran",-0.4
"Spain","Iran",-7.4
"Syria","Iran",-5
"Thailand","Iran",-5
"Turkey","Iran",-55
"United Arab Emirates","Iran",-5
"United Kingdom","Iran",-22.7
"United States","Iran",-674.199999999999
"Venezuela","Iran",-10
"Afghanistan","Iraq",-10
