"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-20
"Canada","Afghanistan",-9
"Denmark","Afghanistan",-54
"Germany","Afghanistan",-7.2
"Iran","Afghanistan",-7
"Kenya","Afghanistan",-10
"Pakistan","Afghanistan",-180.5
"Qatar","Afghanistan",-20
"Russia","Afghanistan",-1.2
"South Korea","Afghanistan",-0.4
"Turkey","Afghanistan",-10
"Ukraine","Afghanistan",-2
"United Kingdom","Afghanistan",-5
"United States","Afghanistan",-407.6
"Greece","Albania",-5
"Serbia","Albania",-10
"Belgium","Algeria",-45
"Chad","Algeria",-20
"France","Algeria",-57
"Iraq","Algeria",-5
"Ireland","Algeria",-5
"Italy","Algeria",-2
"Mali","Algeria",-25
"Morocco","Algeria",-7.2
"Tunisia","Algeria",-10
"United States","Algeria",-5
"Democratic Republic of Congo","Angola",-20
"Spain","Angola",-2
"Brazil","Argentina",-56
"Colombia","Argentina",-2
"Falkland Islands","Argentina",-14
"France","Argentina",-10
"Holy See","Argentina",-10
"Mexico","Argentina",-2
"Peru","Argentina",-9
"United Kingdom","Argentina",-70.2
"United States","Argentina",-13
"Azerbaijan","Armenia",-12.4
"Georgia","Armenia",-5
"Afghanistan","Australia",-4
"China","Australia",-10
"Fiji","Australia",-14
"France","Australia",-4
"India","Australia",-5
"Israel","Australia",-5
"Philippines","Australia",-7
"Sri Lanka","Australia",-30
"Sudan","Australia",-10
"Switzerland","Australia",-8
"United Arab Emirates","Australia",-5
"United Kingdom","Australia",-15
"United States","Australia",-31.4
"Zimbabwe","Australia",-2
"Czech Republic","Austria",-5
"Turkey","Austria",-5
"Armenia","Azerbaijan",-40
"Croatia","Azerbaijan",-4.4
"Czech Republic","Azerbaijan",-4
"France","Azerbaijan",-9.5
"Georgia","Azerbaijan",-0.4
"India","Azerbaijan",-9
"Iran","Azerbaijan",-7
"Israel","Azerbaijan",-2
"Lithuania","Azerbaijan",-0.4
"Russia","Azerbaijan",-5
"Canada","Bahamas",-10
"India","Bahrain",-5
"India","Bangladesh",-46.7
"Indonesia","Bangladesh",-10
"Trinidad and Tobago","Bangladesh",-24
"United Kingdom","Bangladesh",-2
"Russia","Belarus",-5
"Democratic Republic of Congo","Belgium",-2
"Egypt","Belgium",-9
"Greece","Belgium",-6.5
"Hungary","Belgium",-2
"Romania","Belgium",-2
"United States","Bhutan",-2
"Chile","Bolivia",-12
"Netherlands","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-5
"Argentina","Brazil",-2
"Bolivia","Brazil",-2
"Chile","Brazil",-4.4
"Mexico","Brazil",-2
"Portugal","Brazil",-5
"San Marino","Brazil",-18
"Senegal","Brazil",-5
"United States","Brazil",-2
"Estonia","Bulgaria",-5
"Germany","Bulgaria",-15.2
"Lebanon","Bulgaria",-10
"France","Cambodia",-2
"Hungary","Cambodia",-8
"Indonesia","Cambodia",-5
"Thailand","Cambodia",-15
"Falkland Islands","Canada",-0.4
"Iran","Canada",-12.4
"Sudan","Canada",-2
"United States","Canada",-34
