"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-15
"Bangladesh","Afghanistan",-5
"Czech Republic","Afghanistan",-7.2
"Estonia","Afghanistan",-2
"France","Afghanistan",-10
"Germany","Afghanistan",-38.2
"Greece","Afghanistan",-5
"India","Afghanistan",-5
"Indonesia","Afghanistan",-65
"Iran","Afghanistan",-4.4
"Italy","Afghanistan",-7.2
"Netherlands","Afghanistan",-27.2
"New Zealand","Afghanistan",-2
"Pakistan","Afghanistan",-314.4
"Poland","Afghanistan",-21.6
"Russia","Afghanistan",-5
"South Korea","Afghanistan",-4
"Spain","Afghanistan",-51.6
"Tajikistan","Afghanistan",-0.4
"Turkey","Afghanistan",-2
"United Kingdom","Afghanistan",-155.2
"United States","Afghanistan",-774
"Greece","Albania",-5
"Serbia","Albania",-9
"Congo","Angola",-2
"United States","Angola",-2
"United States","Antigua and Barbuda",-2
"Bolivia","Argentina",-5
"Honduras","Argentina",-2
"Iran","Argentina",-30
"Netherlands","Argentina",-18.4
"Spain","Argentina",-10
"United States","Argentina",-5
"Uruguay","Argentina",-17
"Venezuela","Argentina",-17
"Azerbaijan","Armenia",-20
"Turkey","Armenia",-24.9
"United States","Armenia",-5
"China","Australia",-4
"Fiji","Australia",-4
"India","Australia",-31
"Indonesia","Australia",-61.4
"Nigeria","Australia",-4
"Norway","Australia",-9
"Philippines","Australia",-2
"Serbia","Australia",-27
"Sri Lanka","Australia",-6.4
"Thailand","Australia",-25
"United Kingdom","Australia",-18
"United States","Australia",-16
"Germany","Austria",-2
"Spain","Austria",-5
"Armenia","Azerbaijan",-292
"France","Azerbaijan",-2
"Georgia","Azerbaijan",-5
"Iran","Azerbaijan",-2
"Turkmenistan","Azerbaijan",-2
"Taiwan","Bahamas",-5
"India","Bangladesh",-24.3
"Nepal","Bangladesh",-5
"Pakistan","Bangladesh",-10
"Saudi Arabia","Bangladesh",-4
"United States","Bangladesh",-4
"Australia","Barbados",-9
"Japan","Belarus",-61
"Russia","Belarus",-26.2
"United States","Belarus",-4
"Hong Kong","Belgium",-11.2
"Portugal","Belgium",-5
"United States","Belgium",-40
"United States","Benin",-4
"Brazil","Bolivia",-10
"United States","Bolivia",-6
"Serbia","Bosnia and Herzegovina",-48
"Cuba","Botswana",-4
"Honduras","Brazil",-258.4
"Italy","Brazil",-19
"United States","Brazil",-5
"Venezuela","Brazil",-7
"Australia","Brunei",-2
"Greece","Bulgaria",-5
"New Zealand","Bulgaria",-5
"United States","Bulgaria",-5
"Somalia","Burundi",-20
"Benin","Cambodia",-11.6
"Thailand","Cambodia",-118.7
"Congo","Cameroon",-5
"China","Canada",-4
"France","Canada",-5
"Mexico","Canada",-48
"New Zealand","Canada",-0.6
"Philippines","Canada",-20
"Russia","Canada",-0.4
"South Africa","Canada",-13
"United Kingdom","Canada",-2
"United States","Canada",-30
"Austria","Central African Republic",-7.2
"Democratic Republic of Congo","Central African Republic",-9.2
"Uganda","Central African Republic",-27.5
"Austria","Chad",-7.2
"Sudan","Chad",-7
"Dominican Republic","Chile",-5
"Peru","Chile",-2
"Spain","Chile",-5
"Zambia","Chile",-9.5
"Argentina","China",-5
"Australia","China",-14.4
"Botswana","China",-2
"France","China",-9
"Hong Kong","China",-2
"India","China",-19.8
"Japan","China",-24.4
"Myanmar","China",-20
"Namibia","China",-5
"Nepal","China",-15
"North Korea","China",-32.8
"Russia","China",-10
"Spain","China",-5
"Taiwan","China",-48.5
"Turkey","China",-0.4
"United States","China",-92.4
"Zambia","China",-5
"Argentina","Colombia",-5
"Australia","Colombia",-7
"Brazil","Colombia",-2
"Costa Rica","Colombia",-15
"Cuba","Colombia",-2
"Dominican Republic","Colombia",-15
"Ecuador","Colombia",-35.4
"Italy","Colombia",-4
"Pakistan","Colombia",-20
"Panama","Colombia",-10
"Puerto Rico","Colombia",-5
"Romania","Colombia",-5
"United States","Colombia",-32
"Venezuela","Colombia",-68.1
"Norway","Congo",-2
"South Africa","Congo",-5
"Honduras","Costa Rica",-8
"Austria","Croatia",-5
"Bosnia and Herzegovina","Croatia",-17
"Finland","Croatia",-5
"Slovakia","Croatia",-10
"Slovenia","Croatia",-21
"Tajikistan","Croatia",-2
"Brazil","Cuba",-5
"Croatia","Cuba",-5
"France","Cuba",-5
"Gambia","Cuba",-5
"Mexico","Cuba",-10
"Namibia","Cuba",-4
"Spain","Cuba",-4
"United States","Cuba",-135
"Venezuela","Cuba",-7.2
"Australia","Curaçao",-8.8
"Turkey","Cyprus",-2
"China","Czech Republic",-6
"Costa Rica","Czech Republic",-10
"France","Czech Republic",-4.4
"United States","Czech Republic",-14.4
"Congo","Democratic Republic of Congo",-11
"Rwanda","Democratic Republic of Congo",-2
"Tanzania","Democratic Republic of Congo",-8
"Uganda","Democratic Republic of Congo",-9
"Australia","Denmark",-5
"Cambodia","Denmark",-4
"Russia","Denmark",-2
"United Kingdom","Denmark",-12
"United States","Denmark",-20
"Somalia","Djibouti",-6
"Haiti","Dominican Republic",-20
"Colombia","Ecuador",-5
"Uruguay","Ecuador",-10
"Germany","Egypt",-9.5
"Israel","Egypt",-30
"Libya","Egypt",-11
"United States","Egypt",-25
"Mexico","El Salvador",-5
"Egypt","Eritrea",-80
"Kenya","Eritrea",-5
"Turkey","Eritrea",-5
"Mozambique","Ethiopia",-5
"Somalia","Ethiopia",-29.5
"Yemen","Ethiopia",-10
"New Zealand","Fiji",-14
"Afghanistan","France",-4
"Canada","France",-10
"China","France",-18
"Dominican Republic","France",-5
"El Salvador","France",-10
"Gabon","France",-15.9
"India","France",-10
"Iran","France",-15
"Lebanon","France",-2
"Mauritania","France",-10
"Mozambique","France",-2
"Serbia","France",-9
"Somalia","France",-72
"Switzerland","France",-15
"United Kingdom","France",-21
"United States","France",-17
"United States","French Guiana",-5
"France","French Polynesia",-2
"Angola","Gabon",-4
"France","Gabon",-7.2
"Spain","Gambia",-5
"Azerbaijan","Georgia",-7.2
"Belarus","Georgia",-15
"Israel","Georgia",-5
"Poland","Georgia",-5
"Russia","Georgia",-105.2
"Turkey","Georgia",-12.2
"United States","Georgia",-26.2
"Afghanistan","Germany",-26
"Czech Republic","Germany",-19
"Georgia","Germany",-5
"India","Germany",-2
"Iran","Germany",-9
"Malta","Germany",-9
"Pakistan","Germany",-5
"Poland","Germany",-15
"Spain","Germany",-10
"Turkey","Germany",-18.4
"United Kingdom","Germany",-2
"United States","Germany",-26.5
"Burkina Faso","Ghana",-0.4
"Germany","Ghana",-4
"Netherlands","Ghana",-5
"Afghanistan","Greece",-9
"Germany","Greece",-4
"Pakistan","Greece",-18
"Turkey","Greece",-7.2
"Honduras","Guatemala",-9.5
"Mexico","Guatemala",-15
"United States","Guatemala",-9
"France","Guinea",-28.8
"Nigeria","Guinea",-10
"Senegal","Guinea",-2.4
"South Korea","Guinea",-15
"Spain","Guinea",-6
"United States","Guinea",-4
"Dominican Republic","Haiti",-5
"Italy","Holy See",-2
"Brazil","Honduras",-133
"Chile","Honduras",-4
"Costa Rica","Honduras",-5
"Ecuador","Honduras",-5
"Guatemala","Honduras",-9
"Nicaragua","Honduras",-6.5
"South Korea","Honduras",-15.6
"Spain","Honduras",-4
"United States","Honduras",-138.2
"Canada","Hong Kong",-5
"China","Hong Kong",-26.5
"United States","Hong Kong",-5
"Germany","Hungary",-10
"Serbia","Hungary",-2
"Slovakia","Hungary",-25
"Australia","India",-64
"Bangladesh","India",-5
"China","India",-74.5
"Indonesia","India",-5
"Kyrgyzstan","India",-2
"Malaysia","India",-24
"Nepal","India",-68.9
"Nigeria","India",-9
"Pakistan","India",-350.3
"Peru","India",-12
"Sri Lanka","India",-15
"Sudan","India",-14
"United Kingdom","India",-17
"United States","India",-22.4
"Yemen","India",-5
"Afghanistan","Indonesia",-2
"Australia","Indonesia",-4.4
"Malaysia","Indonesia",-41
"Myanmar","Indonesia",-19.5
"United States","Indonesia",-4.4
"Argentina","Iran",-55
"Armenia","Iran",-5
"Australia","Iran",-2
"Austria","Iran",-6.5
"Azerbaijan","Iran",-25
"Brazil","Iran",-2
"China","Iran",-37
"Egypt","Iran",-7
"France","Iran",-75.2
"Germany","Iran",-21.2
"Iraq","Iran",-49.4
"Israel","Iran",-137.4
"Italy","Iran",-2
