"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-4
"China","Afghanistan",-12
"Finland","Afghanistan",-7.2
"Georgia","Afghanistan",-7.2
"India","Afghanistan",-20
"Iran","Afghanistan",-2
"Nigeria","Afghanistan",-14.4
"Pakistan","Afghanistan",-449.2
"Russia","Afghanistan",-7
"Sudan","Afghanistan",-10
"Turkmenistan","Afghanistan",-10
"United Kingdom","Afghanistan",-12
"United States","Afghanistan",-153.8
"Turkey","Albania",-8
"France","Algeria",-17.2
"Iraq","Algeria",-9
"Libya","Algeria",-9
"Mauritania","Algeria",-9
"Syria","Algeria",-10
"United States","Algeria",-4
"Yemen","Algeria",-9
"Chile","Argentina",-14.5
"Iran","Argentina",-6
"United States","Argentina",-2
"Uruguay","Argentina",-8
"Azerbaijan","Armenia",-29
"Georgia","Armenia",-10
"Hungary","Armenia",-5
"Syria","Armenia",-10
"Turkey","Armenia",-2
"Argentina","Australia",-10
"Bangladesh","Australia",-9
"Belize","Australia",-4.4
"China","Australia",-18
"France","Australia",-2
"India","Australia",-28
"Indonesia","Australia",-35
"Japan","Australia",-10
"Kenya","Australia",-2
"Myanmar","Australia",-20
"Nauru","Australia",-4
"New Zealand","Australia",-5
"Papua New Guinea","Australia",-10
"Syria","Australia",-15.5
"Thailand","Australia",-29
"United Kingdom","Australia",-12
"United States","Australia",-52.4
"Armenia","Azerbaijan",-2
"Hungary","Azerbaijan",-5
"Syria","Azerbaijan",-20
"United States","Azerbaijan",-4.3
"Nigeria","Bahrain",-9
"India","Bangladesh",-13
"Myanmar","Bangladesh",-40.8
"Panama","Bangladesh",-5
"Hungary","Belarus",-9
"Japan","Belarus",-7
"Sweden","Belarus",-2
"Ukraine","Belarus",-5
"Holy See","Belgium",-2
"Russia","Belgium",-4
"Serbia","Belgium",-4
"Libya","Benin",-9
"Nigeria","Benin",-10
"United States","Bolivia",-4
"United States","Bosnia and Herzegovina",-9
"Argentina","Brazil",-8.4
"China","Brazil",-5
"Croatia","Brazil",-10
"Holy See","Brazil",-2
"India","Brazil",-9
"Japan","Brazil",-5
"Mexico","Brazil",-5
"Nigeria","Brazil",-2
"Peru","Brazil",-2
"Portugal","Brazil",-2
"United Kingdom","Brazil",-6
"United States","Brazil",-16.2
"China","Brunei",-5
"Philippines","Brunei",-5
"United States","Brunei",-0.4
