"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-17.2
"Canada","Afghanistan",-9.5
"Czech Republic","Afghanistan",-7.2
"Denmark","Afghanistan",-7.2
"France","Afghanistan",-2
"Iran","Afghanistan",-23
"Mexico","Afghanistan",-10
"Nauru","Afghanistan",-5
"Netherlands","Afghanistan",-14.4
"Pakistan","Afghanistan",-95.6
"Russia","Afghanistan",-3.6
"Tajikistan","Afghanistan",-5
"Turkey","Afghanistan",-18.4
"United Kingdom","Afghanistan",-28.8
"United States","Afghanistan",-226.4
"Greece","Albania",-15
"Iraq","Albania",-7
"Russia","Albania",-9
"Serbia","Albania",-31.9
"Slovenia","Albania",-5
"Syria","Albania",-10
"Turkey","Albania",-5
"Canada","Algeria",-5
"France","Algeria",-2
"India","Algeria",-9
"Spain","Algeria",-4
"Yemen","Algeria",-5
"Bolivia","Argentina",-4
"Brazil","Argentina",-5
"France","Argentina",-4
"French Polynesia","Argentina",-2
"Mexico","Argentina",-5
"Paraguay","Argentina",-2
"Peru","Argentina",-2
"Spain","Argentina",-17
"United Kingdom","Argentina",-5
"United States","Argentina",-7
"Uruguay","Argentina",-23.6
"Azerbaijan","Armenia",-10
"Bahrain","Armenia",-4
"Georgia","Armenia",-5.6
"Russia","Armenia",-25
"Afghanistan","Australia",-7
"Argentina","Australia",-5
"Bermuda","Australia",-4
"Croatia","Australia",-29
"Curaçao","Australia",-10
"Egypt","Australia",-18
"Indonesia","Australia",-77.2
"Iraq","Australia",-24
"Japan","Australia",-38
"Lebanon","Australia",-22.5
"Marshall Islands","Australia",-2
"Papua New Guinea","Australia",-2
"Philippines","Australia",-8
"Singapore","Australia",-7
"Somalia","Australia",-4.4
"United States","Australia",-184.8
"Croatia","Austria",-5.6
"Iraq","Austria",-20
"Israel","Austria",-16
"Mexico","Austria",-4.4
"Poland","Austria",-2
"Portugal","Austria",-5
"United Kingdom","Austria",-5
"United States","Austria",-9
"Vietnam","Austria",-10
"Yemen","Austria",-9
"Armenia","Azerbaijan",-14
"France","Azerbaijan",-4
"Poland","Azerbaijan",-5
"Russia","Azerbaijan",-21.2
"United Kingdom","Azerbaijan",-2
"United States","Bahamas",-2
"Kuwait","Bahrain",-5
"Afghanistan","Bangladesh",-28
"Cote d'Ivoire","Bangladesh",-9
"India","Bangladesh",-193.4
"Indonesia","Bangladesh",-4
"Pakistan","Bangladesh",-5
"Slovakia","Bangladesh",-5
"Spain","Bangladesh",-9
"Tajikistan","Bangladesh",-10
"United Kingdom","Bangladesh",-0.4
"United States","Bangladesh",-2
"Kenya","Belarus",-2
"Poland","Belarus",-2
"Russia","Belarus",-6
"United States","Belarus",-4.4
"Cyprus","Belgium",-4
"Mexico","Belgium",-9
"Moldova, Republic of","Belgium",-0.4
"Senegal","Belgium",-4
"Thailand","Belgium",-5
"Turkey","Belgium",-8.4
"United States","Belgium",-10
"Burkina Faso","Benin",-23
