"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-20
"Azerbaijan","Afghanistan",-9
"Czech Republic","Afghanistan",-7.2
"France","Afghanistan",-2
"Greece","Afghanistan",-14
"Iran","Afghanistan",-31
"Pakistan","Afghanistan",-109
"Russia","Afghanistan",-9
"Slovakia","Afghanistan",-7.2
"Turkmenistan","Afghanistan",-9
"Ukraine","Afghanistan",-5
"United Arab Emirates","Afghanistan",-12
"United Kingdom","Afghanistan",-10
"United States","Afghanistan",-167.5
"Uzbekistan","Afghanistan",-0.8
"Greece","Albania",-10
"France","Algeria",-5
"Libya","Algeria",-2
"Mali","Algeria",-9
"Netherlands","Algeria",-9.5
"United States","Algeria",-2
"United Kingdom","Angola",-2
"Brazil","Argentina",-7
"China","Argentina",-2
"Colombia","Argentina",-7
"France","Argentina",-2
"Mexico","Argentina",-2
"Spain","Argentina",-10
"United Kingdom","Argentina",-10
"Uruguay","Argentina",-8
"Azerbaijan","Armenia",-17.8
"Russia","Armenia",-12
"China","Australia",-9
"India","Australia",-49
"Indonesia","Australia",-12
"Malaysia","Australia",-7
"Sweden","Australia",-62
"Thailand","Australia",-35
"United Kingdom","Australia",-76
"United States","Australia",-13
"Vanuatu","Australia",-10
"Croatia","Austria",-5
"Libya","Austria",-4
"Armenia","Azerbaijan",-2
"Georgia","Azerbaijan",-11.5
"Germany","Azerbaijan",-2
"Iran","Azerbaijan",-85.7
"Turkey","Azerbaijan",-7.2
"United Kingdom","Azerbaijan",-2
"Iran","Bahrain",-68.3
"India","Bangladesh",-12
"Libya","Bangladesh",-5
"Nepal","Bangladesh",-9.2
"Romania","Bangladesh",-9.2
"Saudi Arabia","Bangladesh",-23
"Senegal","Bangladesh",-2
"United Kingdom","Bangladesh",-5
"United States","Bangladesh",-6.8
"Malawi","Barbados",-7
"Japan","Belarus",-5
"Libya","Belarus",-20
"Lithuania","Belarus",-2
"United States","Belarus",-2
"France","Belgium",-2
"Yemen","Belgium",-10
"Nigeria","Benin",-13.5
"Turkey","Benin",-10
"Australia","Bermuda",-0.8
"South Africa","Bermuda",-9
"United States","Bhutan",-10
"Brazil","Bolivia",-2
"Chile","Bolivia",-2
"Romania","Bosnia and Herzegovina",-9
"Serbia","Bosnia and Herzegovina",-30
"Belgium","Brazil",-4.4
