"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-14
"Estonia","Afghanistan",-7.2
"Iran","Afghanistan",-20
"Italy","Afghanistan",-7.2
"Lithuania","Afghanistan",-7.2
"Malawi","Afghanistan",-2
"Pakistan","Afghanistan",-85.5
"Philippines","Afghanistan",-5
"Russia","Afghanistan",-0.8
"Tajikistan","Afghanistan",-4
"United Kingdom","Afghanistan",-10
"United States","Afghanistan",-255.7
"Greece","Albania",-5
"Syria","Albania",-9
"Mali","Algeria",-5
"Morocco","Algeria",-2
"Zambia","Angola",-5
"Colombia","Argentina",-5
"Ecuador","Argentina",-20
"Eritrea","Argentina",-2
"France","Argentina",-5
"Greece","Argentina",-5
"United Kingdom","Argentina",-5
"United States","Argentina",-9
"Azerbaijan","Armenia",-58.4
"Turkey","Armenia",-2
"Afghanistan","Australia",-70
"Bermuda","Australia",-2
"Colombia","Australia",-5
"Fiji","Australia",-6
"Indonesia","Australia",-16
"Nauru","Australia",-25.6
"Netherlands","Australia",-15
"New Zealand","Australia",-5
"Papua New Guinea","Australia",-8.4
"Russia","Australia",-11
"Solomon Islands","Australia",-8
"Spain","Australia",-5
"Thailand","Australia",-5
"United Kingdom","Australia",-10
"United States","Australia",-81
"Wallis and Futuna","Australia",-9.5
"Zimbabwe","Australia",-2
"Turkey","Austria",-4
"Armenia","Azerbaijan",-11
"India","Azerbaijan",-9
"Iran","Azerbaijan",-2
"Lithuania","Azerbaijan",-4
"Russia","Azerbaijan",-5
"Syria","Azerbaijan",-5
"Cuba","Bahamas",-4
"United States","Bahamas",-2
"China","Bangladesh",-0.8
"Egypt","Bangladesh",-5
"India","Bangladesh",-15
"Indonesia","Bangladesh",-20
"Myanmar","Bangladesh",-5
"Pakistan","Bangladesh",-9
"Romania","Bangladesh",-5
"United States","Bangladesh",-5
"Congo","Belarus",-10
"Russia","Belarus",-22.2
"Syria","Belarus",-9
"Yemen","Belgium",-5
"Japan","Bhutan",-7.2
"Brazil","Bolivia",-4.4
"Denmark","Bosnia and Herzegovina",-2
"India","Bosnia and Herzegovina",-10
"Israel","Bosnia and Herzegovina",-5
"Netherlands","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-20
"Australia","Brazil",-4
"Bolivia","Brazil",-19.4
"Egypt","Brazil",-29
"India","Brazil",-2
"Nigeria","Brazil",-5
"United Kingdom","Brazil",-99.2
"United States","Brazil",-30
"Greece","Bulgaria",-5
"Russia","Bulgaria",-2
"Turkey","Bulgaria",-0.1
"Nigeria","Burkina Faso",-2
"Democratic Republic of Congo","Burundi",-4
"China","Cambodia",-0.3
"Congo","Cameroon",-5
"Germany","Cameroon",-2
"Colombia","Canada",-14
"Egypt","Canada",-50
"Iran","Canada",-2
"South Africa","Canada",-2
"Thailand","Canada",-50
"United Kingdom","Canada",-4
"United States","Canada",-40
"United States","Cayman Islands",-5.6
"Austria","Central African Republic",-4
"Cameroon","Central African Republic",-8
"France","Central African Republic",-14.8
"Saudi Arabia","Chad",-15
"Senegal","Chad",-5
"Argentina","Chile",-14.4
"Bolivia","Chile",-2
"Philippines","Chile",-5
"United States","Chile",-15
"Belgium","China",-2
"Canada","China",-5
"Colombia","China",-5
"France","China",-9
"India","China",-4.4
"Japan","China",-16.8
"Kenya","China",-15
"Latvia","China",-10
"Maldives","China",-5
"Nigeria","China",-2
"Philippines","China",-24.5
"Russia","China",-14.4
"Taiwan","China",-14
"United Kingdom","China",-14
"United States","China",-34.3
"Costa Rica","Colombia",-26.4
"Cuba","Colombia",-13
"Ecuador","Colombia",-54
"India","Colombia",-17.5
"Panama","Colombia",-4
"Spain","Colombia",-2
"United States","Colombia",-10
"Venezuela","Colombia",-45
"Democratic Republic of Congo","Congo",-73.4
"France","Congo",-40
"Rwanda","Congo",-30.2
"Nicaragua","Costa Rica",-8.4
"Panama","Costa Rica",-5
"United States","Costa Rica",-9
"Ghana","Cote d'Ivoire",-12
"Costa Rica","Croatia",-5
"Denmark","Croatia",-4
"Serbia","Croatia",-5
"Bahamas","Cuba",-39.5
"Brazil","Cuba",-4
"Colombia","Cuba",-4
"Dominican Republic","Cuba",-5
"Poland","Cuba",-2
"Spain","Cuba",-2
"United States","Cuba",-27.5
"United States","Curaçao",-4
"Australia","Cyprus",-9.5
"Germany","Cyprus",-0.4
"United Kingdom","Cyprus",-7.2
"India","Czech Republic",-7
"Montenegro","Czech Republic",-2
"United Kingdom","Czech Republic",-4
"Austria","Democratic Republic of Congo",-0.4
"Congo","Democratic Republic of Congo",-119
"France","Democratic Republic of Congo",-2
"Rwanda","Democratic Republic of Congo",-48
"South Africa","Democratic Republic of Congo",-45.2
"South Korea","Democratic Republic of Congo",-2
"Uganda","Democratic Republic of Congo",-10
"Somalia","Denmark",-9
"Japan","Djibouti",-7.2
"India","Dominican Republic",-7.5
"Colombia","Ecuador",-74.5
"Germany","Ecuador",-4
"Peru","Ecuador",-5
"United States","Ecuador",-2
"Afghanistan","Egypt",-4
"Belgium","Egypt",-4.4
"Brazil","Egypt",-4
"Cameroon","Egypt",-0.4
"Czech Republic","Egypt",-5.6
"Ecuador","Egypt",-12
"France","Egypt",-0.9
"Germany","Egypt",-11.4
"Indonesia","Egypt",-26.1
"Iran","Egypt",-96.6
"Israel","Egypt",-144.4
"Jordan","Egypt",-6.5
"Kuwait","Egypt",-8.8
"Kyrgyzstan","Egypt",-2
"Lebanon","Egypt",-10
"Netherlands","Egypt",-5.6
"New Zealand","Egypt",-6.5
"Pakistan","Egypt",-2.4
"Philippines","Egypt",-7.2
"Portugal","Egypt",-13.2
"Qatar","Egypt",-19.6
"Russia","Egypt",-15.6
"Saudi Arabia","Egypt",-18.5
"Singapore","Egypt",-0.4
"South Africa","Egypt",-2
"South Korea","Egypt",-11
"Sudan","Egypt",-15.9
"Sweden","Egypt",-0.4
"Syria","Egypt",-10
"Thailand","Egypt",-8.9
"Turkey","Egypt",-130.8
"United Arab Emirates","Egypt",-12
"United Kingdom","Egypt",-13.6
"United States","Egypt",-318.2
"Venezuela","Egypt",-4
"Yemen","Egypt",-4
"Spain","El Salvador",-5
"United States","El Salvador",-15
"Argentina","Eritrea",-4
"Congo","Eritrea",-4
"Ethiopia","Eritrea",-4
"Israel","Eritrea",-5
"Belgium","Ethiopia",-2
"Egypt","Ethiopia",-0.4
"Eritrea","Ethiopia",-2
"France","Ethiopia",-20
"Kenya","Ethiopia",-4
"Somalia","Ethiopia",-22
"Argentina","Falkland Islands",-19.5
"Belgium","France",-5
"Brazil","France",-19.5
"Cambodia","France",-5
"Chad","France",-7.2
"China","France",-12
"Colombia","France",-9
"Congo","France",-2
"Egypt","France",-0.8
"Georgia","France",-10
"Greece","France",-7
"India","France",-10
"Israel","France",-2
"Rwanda","France",-10
"Switzerland","France",-2
"Tunisia","France",-2
"Turkey","France",-5
"United States","France",-6
"Uruguay","France",-5
"Belarus","Georgia",-5
"France","Georgia",-5
"Greece","Georgia",-15
"Russia","Georgia",-35
"United States","Georgia",-39
"Croatia","Germany",-4
"Ecuador","Germany",-9
"Greece","Germany",-15
"Nigeria","Germany",-2
"Russia","Germany",-10
"Turkey","Germany",-4
"United States","Germany",-19
"Kenya","Ghana",-5
"Netherlands","Ghana",-2
"Nigeria","Ghana",-22
"United States","Ghana",-4.4
"Spain","Gibraltar",-37.7
"Ecuador","Greece",-4
"Georgia","Greece",-9
"Germany","Greece",-4
"South Korea","Greece",-4
"United States","Greece",-5
"Philippines","Guadeloupe",-0.4
"Honduras","Guatemala",-9
"Mozambique","Guinea",-5
"Nigeria","Guinea",-2
"United States","Guinea-Bissau",-10
"Bahamas","Haiti",-5
"Argentina","Holy See",-4
"United States","Holy See",-5
"Mexico","Honduras",-5
"United States","Honduras",-5
"China","Hong Kong",-10
"Philippines","Hong Kong",-13
"United Kingdom","Hong Kong",-2
"United States","Hong Kong",-2
"Cambodia","Hungary",-8
"Czech Republic","Hungary",-6.5
"Lithuania","Hungary",-4
"Afghanistan","India",-84.5
"Australia","India",-9
"Bangladesh","India",-6
"China","India",-7.6
"Colombia","India",-11.5
"France","India",-10
"Germany","India",-10
"Indonesia","India",-5
"Iran","India",-6
"Italy","India",-25
"Liberia","India",-7
"Malaysia","India",-2
"Mozambique","India",-2
"Myanmar","India",-7.2
"New Zealand","India",-2
"Nigeria","India",-16
"Norway","India",-5
