"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-124.5
"Azerbaijan","Afghanistan",-4
"Belgium","Afghanistan",-5
"Bosnia and Herzegovina","Afghanistan",-7.2
"Cambodia","Afghanistan",-10
"Canada","Afghanistan",-38.3
"Denmark","Afghanistan",-7.2
"France","Afghanistan",-21.6
"Germany","Afghanistan",-7.2
"India","Afghanistan",-35
"Iran","Afghanistan",-55
"Italy","Afghanistan",-7.2
"Namibia","Afghanistan",-10
"Netherlands","Afghanistan",-7.2
"Pakistan","Afghanistan",-352.9
"South Korea","Afghanistan",-7.2
"Tajikistan","Afghanistan",-15
"United Kingdom","Afghanistan",-97.8
"United States","Afghanistan",-1105.6
"Kosovo","Albania",-5
"Portugal","Albania",-0.3
"Serbia","Albania",-40
"United States","Albania",-0.4
"Brazil","Argentina",-5
"Colombia","Argentina",-9
"France","Argentina",-5
"Paraguay","Argentina",-5
"Russia","Argentina",-0.4
"United States","Argentina",-4
"Uruguay","Argentina",-9
"Venezuela","Argentina",-5
"Azerbaijan","Armenia",-4
"Georgia","Armenia",-5
"Iran","Armenia",-5
"Russia","Armenia",-16.7
"Turkey","Armenia",-16
"United States","Armenia",-5.6
"Afghanistan","Australia",-114
"China","Australia",-4
"Egypt","Australia",-20
"Fiji","Australia",-51
"Greece","Australia",-10
"India","Australia",-64
"Indonesia","Australia",-16.1
"Israel","Australia",-10
"Japan","Australia",-4
"New Zealand","Australia",-7
"Norfolk Island","Australia",-9
"Pakistan","Australia",-7
"Singapore","Australia",-14
"South Africa","Australia",-5
"South Korea","Australia",-2
"Thailand","Australia",-10
"United Kingdom","Australia",-35
"United States","Australia",-5
"Australia","Austria",-9.2
"China","Austria",-4
"United States","Austria",-5
"Armenia","Azerbaijan",-43
"France","Azerbaijan",-0.3
"India","Azerbaijan",-10
"Iran","Azerbaijan",-15
"Poland","Azerbaijan",-2
"United States","Azerbaijan",-0.3
"India","Bahrain",-4
"Iran","Bahrain",-5
"Syria","Bahrain",-7
"Austria","Bangladesh",-5
"Germany","Bangladesh",-10
"India","Bangladesh",-79.5
"Nigeria","Bangladesh",-7
"Pakistan","Bangladesh",-9
"Philippines","Bangladesh",-10
"Singapore","Bangladesh",-2
"Japan","Belarus",-7.8
"Poland","Belarus",-5
"United States","Belarus",-0.6
"China","Belgium",-6
"Czech Republic","Belgium",-2
"Democratic Republic of Congo","Belgium",-2
"France","Belgium",-2
"Greece","Belgium",-4
"Iran","Belgium",-10
"Monaco","Belgium",-4.4
"Philippines","Belgium",-5
"Thailand","Belgium",-5
"Ireland","Bermuda",-5.3
"India","Bhutan",-10
"Brazil","Bolivia",-5
"United States","Bolivia",-5
"Venezuela","Bolivia",-2
"Montenegro","Bosnia and Herzegovina",-5
"Norway","Bosnia and Herzegovina",-5
"Portugal","Bosnia and Herzegovina",-2
"Serbia","Bosnia and Herzegovina",-13
"Suriname","Bosnia and Herzegovina",-2
"Sweden","Bosnia and Herzegovina",-4
"United States","Bosnia and Herzegovina",-5
"Zimbabwe","Botswana",-12
"Argentina","Brazil",-5
"Ecuador","Brazil",-18
"France","Brazil",-5
"Madagascar","Brazil",-4
"Paraguay","Brazil",-5
"Russia","Brazil",-27.2
"United Kingdom","Brazil",-150
"United States","Brazil",-9
"Uruguay","Brazil",-5
"Venezuela","Brazil",-5
"Belarus","Bulgaria",-4
"Belgium","Bulgaria",-4.4
"Serbia","Bulgaria",-9
"United States","Bulgaria",-7.2
"Somalia","Burundi",-9
"Afghanistan","Cambodia",-10
"Germany","Cambodia",-4
"Thailand","Cambodia",-8
"United States","Cambodia",-5
"China","Canada",-5
"India","Canada",-28
"Iran","Canada",-2
"Niger","Canada",-27
"Peru","Canada",-5
"South Africa","Canada",-2
"United Kingdom","Canada",-5
"United States","Canada",-19
"Uganda","Central African Republic",-9
"Poland","Chad",-7.2
"Sudan","Chad",-4
"Bolivia","Chile",-9.5
"Ecuador","Chile",-5
"Malaysia","Chile",-2
"Spain","Chile",-5
"United States","Chile",-39
"Belgium","China",-2
"Canada","China",-5
"Colombia","China",-5
"Costa Rica","China",-5
"Cuba","China",-10
"France","China",-65.5
"Germany","China",-10
"Holy See","China",-4
"Hong Kong","China",-2
"India","China",-15
"Iran","China",-5
"Japan","China",-22
"Kyrgyzstan","China",-9.2
"Mexico","China",-5
"Nepal","China",-4
"North Korea","China",-11
"Pakistan","China",-47
"Philippines","China",-9
"Russia","China",-5
"Singapore","China",-5
"Somalia","China",-9
"South Africa","China",-12
"Taiwan","China",-108
"Uganda","China",-4
"United Kingdom","China",-10
"United States","China",-62.2
"Vietnam","China",-2
"Brazil","Colombia",-7.3
"Ecuador","Colombia",-52.4
"France","Colombia",-4
"Honduras","Colombia",-20
"Mexico","Colombia",-20
"Russia","Colombia",-4
"Spain","Colombia",-9
"United States","Colombia",-77
"Venezuela","Colombia",-19.1
"Democratic Republic of Congo","Congo",-55
"Nigeria","Congo",-4
"Rwanda","Congo",-19
"Sudan","Congo",-49
"Uganda","Congo",-142.4
"Vietnam","Congo",-5
"Guinea","Cote d'Ivoire",-5
"Mali","Cote d'Ivoire",-2
"Bosnia and Herzegovina","Croatia",-14
"Serbia","Croatia",-14
"Slovenia","Croatia",-53.2
"Tajikistan","Croatia",-2
"United States","Croatia",-7
"Bolivia","Cuba",-16
"Chile","Cuba",-16
"Mexico","Cuba",-10
"Netherlands","Cuba",-4
"United States","Cuba",-108
"Venezuela","Cuba",-12
"United States","Curaçao",-9.5
"South Korea","Cyprus",-2
"Austria","Czech Republic",-10
"France","Czech Republic",-10
"Hungary","Czech Republic",-5
"Ireland","Czech Republic",-2
"Slovakia","Czech Republic",-16
"Vietnam","Czech Republic",-2
"Belgium","Democratic Republic of Congo",-12.2
"Congo","Democratic Republic of Congo",-30.4
"France","Democratic Republic of Congo",-16.4
"Italy","Democratic Republic of Congo",-10
"Rwanda","Democratic Republic of Congo",-32
"Uganda","Democratic Republic of Congo",-130.4
"United States","Democratic Republic of Congo",-2
"France","Denmark",-4
