"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-154
"Canada","Afghanistan",-16.4
"China","Afghanistan",-4
"Colombia","Afghanistan",-7.2
"Denmark","Afghanistan",-14.2
"France","Afghanistan",-15
"Georgia","Afghanistan",-14.4
"Germany","Afghanistan",-14.4
"India","Afghanistan",-2
"Iran","Afghanistan",-7
"Japan","Afghanistan",-15
"Kuwait","Afghanistan",-5
"New Zealand","Afghanistan",-7.2
"Nigeria","Afghanistan",-10
"Pakistan","Afghanistan",-511
"Poland","Afghanistan",-17.2
"Russia","Afghanistan",-9
"Saudi Arabia","Afghanistan",-5
"Slovenia","Afghanistan",-14.8
"South Korea","Afghanistan",-0.4
"Sweden","Afghanistan",-10
"United Kingdom","Afghanistan",-117.1
"United States","Afghanistan",-569.7
"Uzbekistan","Afghanistan",-9.2
"Greece","Albania",-5
"Kosovo","Albania",-15
"Serbia","Albania",-55
"China","Algeria",-19
"Italy","Algeria",-5
"United Kingdom","Algeria",-5
"Namibia","Angola",-5
"United States","Angola",-10
"Bolivia","Argentina",-0.4
"Brazil","Argentina",-0.4
"Chile","Argentina",-4.4
"Colombia","Argentina",-11
"Honduras","Argentina",-63.4
"Iran","Argentina",-23
"Mexico","Argentina",-9
"Spain","Argentina",-5
"Turkey","Armenia",-5
"Ukraine","Armenia",-5
"Afghanistan","Australia",-48
"Bermuda","Australia",-2
"Canada","Australia",-0.8
"China","Australia",-106.5
"France","Australia",-5
"Germany","Australia",-5
"India","Australia",-2
"Indonesia","Australia",-10
"Iraq","Australia",-38
"Japan","Australia",-10
"Lebanon","Australia",-14
"Marshall Islands","Australia",-9
"Myanmar","Australia",-5
"Philippines","Australia",-15
"Solomon Islands","Australia",-4
"Somalia","Australia",-35
"South Africa","Australia",-2
"Thailand","Australia",-15
"Timor-Leste","Australia",-5
"Tonga","Australia",-2
"United Kingdom","Australia",-23.8
"United States","Australia",-10
"Czech Republic","Austria",-5
"Armenia","Azerbaijan",-247
"Georgia","Azerbaijan",-5
"India","Azerbaijan",-5
"Iran","Azerbaijan",-8.8
"Nigeria","Azerbaijan",-9
"Russia","Azerbaijan",-39
"United States","Azerbaijan",-2
"Kenya","Bahamas",-4.4
"India","Bangladesh",-28.5
"Indonesia","Bangladesh",-14.2
"Kyrgyzstan","Bangladesh",-10
"United Kingdom","Bangladesh",-5
"Japan","Belarus",-76
"United States","Belarus",-10
"Congo","Belgium",-4
"France","Belgium",-9
"Lebanon","Belgium",-4
"Poland","Belgium",-5
"United States","Belgium",-2
"United States","Belize",-9
"Nigeria","Benin",-23
"Australia","Bermuda",-2
"Argentina","Bolivia",-0.4
"Brazil","Bolivia",-4.4
"Chile","Bolivia",-9.4
"France","Bolivia",-4
"Greece","Bolivia",-9.2
"Croatia","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-5
"Afghanistan","Botswana",-10
"South Africa","Botswana",-2
"Argentina","Brazil",-0.8
"Bolivia","Brazil",-0.4
"Canada","Brazil",-5
"Chile","Brazil",-0.4
"Ecuador","Brazil",-2
"Italy","Brazil",-5
"United States","Brazil",-9
"Malaysia","Brunei",-15
"Czech Republic","Bulgaria",-5
"Greece","Bulgaria",-25
