"SCountry","TCountry","Intensity"
"Argentina","Afghanistan",-7
"Australia","Afghanistan",-50
"Bangladesh","Afghanistan",-5
"Canada","Afghanistan",-18.2
"Colombia","Afghanistan",-14.4
"France","Afghanistan",-114.7
"Germany","Afghanistan",-10
"India","Afghanistan",-85
"Indonesia","Afghanistan",-5
"Iran","Afghanistan",-9.2
"Norway","Afghanistan",-7.2
"Pakistan","Afghanistan",-776.4
"Slovakia","Afghanistan",-2
"South Korea","Afghanistan",-7.2
"Spain","Afghanistan",-11
"Tajikistan","Afghanistan",-49.2
"Turkey","Afghanistan",-5
"United Kingdom","Afghanistan",-91.2
"United States","Afghanistan",-1007.6
"Uzbekistan","Afghanistan",-4
"Greece","Albania",-15
"Italy","Albania",-5
"Montenegro","Albania",-20
"Serbia","Albania",-150
"United States","Albania",-0.4
"Iran","Algeria",-10
"Pakistan","Algeria",-9
"Slovakia","Algeria",-15
"South Korea","Algeria",-4
"Uganda","Angola",-2
"Barbados","Antigua and Barbuda",-2
"Bolivia","Argentina",-6.5
"Cape Verde","Argentina",-2
"Chile","Argentina",-2
"Falkland Islands","Argentina",-2
"Spain","Argentina",-2
"United States","Argentina",-0.4
"Venezuela","Argentina",-6.5
"Azerbaijan","Armenia",-5.3
"Georgia","Armenia",-13.6
"Afghanistan","Australia",-43
"Algeria","Australia",-2
"Canada","Australia",-10
"China","Australia",-35.4
"Colombia","Australia",-2
"Egypt","Australia",-2
"Fiji","Australia",-8.5
"France","Australia",-2
"Greece","Australia",-29.5
"Hungary","Australia",-5
"India","Australia",-49
"Japan","Australia",-45
"New Zealand","Australia",-10
"Nigeria","Australia",-2
"Papua New Guinea","Australia",-2
"Philippines","Australia",-17
"Somalia","Australia",-47
"South Africa","Australia",-5
"Thailand","Australia",-5
"United Kingdom","Australia",-7.4
"United States","Australia",-13
"India","Austria",-2
"Ireland","Austria",-0.4
"New Zealand","Austria",-0.4
"Philippines","Austria",-5
"Armenia","Azerbaijan",-49.2
"Georgia","Azerbaijan",-9
"India","Azerbaijan",-15
"Russia","Azerbaijan",-68.8
"Slovakia","Azerbaijan",-5
"Afghanistan","Bangladesh",-10
"India","Bangladesh",-58.4
"Kuwait","Bangladesh",-78.5
"Myanmar","Bangladesh",-18
"Nepal","Bangladesh",-5
"Pakistan","Bangladesh",-19
"Cuba","Belarus",-5
"Japan","Belarus",-2
"Poland","Belarus",-5
"Russia","Belarus",-6
"United States","Belarus",-40
"Georgia","Belgium",-37
"Russia","Belgium",-21.7
"United Kingdom","Belgium",-2
"Thailand","Benin",-5
"Argentina","Bolivia",-49.4
"Brazil","Bolivia",-5
"Venezuela","Bolivia",-35.5
"China","Bosnia and Herzegovina",-2
"Croatia","Bosnia and Herzegovina",-2
"Netherlands","Bosnia and Herzegovina",-10
"Norway","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-68.8
"Sweden","Bosnia and Herzegovina",-9
"United States","Bosnia and Herzegovina",-37
"Zimbabwe","Botswana",-4
"Mexico","Brazil",-10
"Nigeria","Brazil",-4
"Norway","Brazil",-12
"Paraguay","Brazil",-5
"Philippines","Brazil",-4
"Spain","Brazil",-10
"United Kingdom","Brazil",-23.2
"United States","Brazil",-11
"Vietnam","Brazil",-0.8
"Belgium","Bulgaria",-8
"Georgia","Bulgaria",-0.4
"Germany","Bulgaria",-0.4
"Greece","Bulgaria",-20
"Hungary","Bulgaria",-19
"Romania","Bulgaria",-10
"France","Burundi",-9
"Rwanda","Burundi",-2
"Thailand","Cambodia",-123.5
"Kazakhstan","Cameroon",-15
"Nigeria","Cameroon",-5
"United Kingdom","Cameroon",-9
"United States","Cameroon",-5
"Afghanistan","Canada",-91.8
"China","Canada",-34
