"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-7.2
"Canada","Afghanistan",-114.2
"Greece","Afghanistan",-5
"India","Afghanistan",-10
"Iran","Afghanistan",-12.2
"Italy","Afghanistan",-7.2
"Malaysia","Afghanistan",-4
"Netherlands","Afghanistan",-7.2
"Pakistan","Afghanistan",-260.2
"Somalia","Afghanistan",-5
"Tajikistan","Afghanistan",-20
"Turkey","Afghanistan",-5
"United Kingdom","Afghanistan",-297.4
"United States","Afghanistan",-857.6
"Uzbekistan","Afghanistan",-19
"Greece","Albania",-5
"Italy","Albania",-5
"Kosovo","Albania",-34
"Serbia","Albania",-21
"Indonesia","Algeria",-5
"Russia","Algeria",-43
"United Kingdom","Algeria",-20
"United States","Algeria",-10
"Namibia","Angola",-5
"Bolivia","Argentina",-6.5
"Brazil","Argentina",-6.5
"Germany","Argentina",-5
"Mexico","Argentina",-10
"Paraguay","Argentina",-2
"Peru","Argentina",-2
"United Kingdom","Argentina",-5
"United States","Argentina",-5.6
"Uruguay","Argentina",-2
"Venezuela","Argentina",-6.5
"Azerbaijan","Armenia",-10
"Kenya","Armenia",-36
"Russia","Armenia",-5
"Turkey","Armenia",-13
"Angola","Australia",-9
"Cambodia","Australia",-41
"Canada","Australia",-2
"Croatia","Australia",-41
"France","Australia",-5
"Indonesia","Australia",-198.1
"Iraq","Australia",-31.6
"Malaysia","Australia",-2
"North Korea","Australia",-0.8
"Pakistan","Australia",-24
"Papua New Guinea","Australia",-12.8
"Portugal","Australia",-12
"Singapore","Australia",-5
"South Korea","Australia",-9.5
"Sudan","Australia",-10.8
"Sweden","Australia",-35
"Thailand","Australia",-53
"Timor-Leste","Australia",-19
"Uganda","Australia",-8.8
"United Kingdom","Australia",-24
"United States","Australia",-81.2
"Bangladesh","Austria",-5
"Bulgaria","Austria",-4
"Czech Republic","Austria",-7.2
"Iran","Austria",-5
"Israel","Austria",-2
"Turkey","Austria",-4
"Armenia","Azerbaijan",-27
"India","Azerbaijan",-20
"Iran","Azerbaijan",-7
"Russia","Azerbaijan",-2
"Spain","Azerbaijan",-5
"Switzerland","Azerbaijan",-2
"Turkey","Azerbaijan",-10
"India","Bahrain",-10
"United States","Bahrain",-9
"Canada","Bangladesh",-0.4
"India","Bangladesh",-264
"Iran","Bangladesh",-5
"Denmark","Belarus",-4
"Japan","Belarus",-4.4
"Kenya","Belarus",-6.5
"Russia","Belarus",-5
"Switzerland","Belarus",-16
"United States","Belarus",-101
"Brazil","Belgium",-4
"China","Belgium",-6
"Cuba","Belgium",-2
"France","Belgium",-4
"United States","Belgium",-4.4
"Namibia","Belize",-6
"United States","Belize",-15
"Nepal","Bhutan",-6.5
"Argentina","Bolivia",-13.5
"Brazil","Bolivia",-15.5
"Chile","Bolivia",-13.4
"India","Bolivia",-0.8
"Peru","Bolivia",-4
"United States","Bolivia",-76
"Venezuela","Bolivia",-30.9
"Croatia","Bosnia and Herzegovina",-15
"Czech Republic","Bosnia and Herzegovina",-7.2
"Netherlands","Bosnia and Herzegovina",-10
"Russia","Bosnia and Herzegovina",-10
"Serbia","Bosnia and Herzegovina",-49.5
"Argentina","Brazil",-6.5
"Bolivia","Brazil",-8.5
"Cyprus","Brazil",-5
"Ecuador","Brazil",-2
"France","Brazil",-19.5
"India","Brazil",-2
"Mozambique","Brazil",-6
"Paraguay","Brazil",-7
"Portugal","Brazil",-17.5
"Spain","Brazil",-10
"United Kingdom","Brazil",-30
"United States","Brazil",-19
"Uruguay","Brazil",-2
"Venezuela","Brazil",-15.5
"Greece","Bulgaria",-10
"Italy","Bulgaria",-2
"Romania","Bulgaria",-5
"Turkey","Bulgaria",-5
"Cote d'Ivoire","Burkina Faso",-5
"France","Burundi",-38
"Australia","Cambodia",-2
"United States","Cambodia",-8
"Nigeria","Cameroon",-9.5
"Afghanistan","Canada",-61
"China","Canada",-7
"India","Canada",-4.4
"Iran","Canada",-8
"Malta","Canada",-5
"Mexico","Canada",-10
"Russia","Canada",-9
"Turkey","Canada",-4
"United Kingdom","Canada",-5
"United States","Canada",-98
"Uzbekistan","Canada",-5
"Chad","Central African Republic",-45
"Belgium","Chad",-5
"Central African Republic","Chad",-24
"France","Chad",-9
"Sudan","Chad",-56
"Bolivia","Chile",-4
"Cape Verde","Chile",-0.4
"Spain","Chile",-2
"Sri Lanka","Chile",-5
"United Kingdom","Chile",-10
"United States","Chile",-8.4
"Uruguay","Chile",-7.5
"Argentina","China",-10
"Australia","China",-30.3
"Canada","China",-5
