"SCountry","TCountry","Intensity"
"Albania","Afghanistan",-7.2
"Bulgaria","Afghanistan",-7.2
"Canada","Afghanistan",-36.2
"France","Afghanistan",-23.6
"Germany","Afghanistan",-30.4
"India","Afghanistan",-0.8
"Iran","Afghanistan",-229.3
"Italy","Afghanistan",-14.4
"Netherlands","Afghanistan",-7
"Pakistan","Afghanistan",-1006.4
"Poland","Afghanistan",-7.2
"Spain","Afghanistan",-17.2
"Tajikistan","Afghanistan",-5
"United Kingdom","Afghanistan",-44.4
"United States","Afghanistan",-738.9
"Georgia","Albania",-9
"Greece","Albania",-21
"Serbia","Albania",-19
"United States","Albania",-24
"Egypt","Algeria",-9
"Morocco","Algeria",-7.2
"Brazil","Argentina",-14.2
"Colombia","Argentina",-27
"Ecuador","Argentina",-2
"Mexico","Argentina",-14
"Spain","Argentina",-29
"Sweden","Argentina",-4
"Uruguay","Argentina",-9.5
"Azerbaijan","Armenia",-18.4
"Georgia","Armenia",-5
"Rwanda","Armenia",-2
"Turkey","Armenia",-22
"Afghanistan","Australia",-50
"Algeria","Australia",-5
"Bermuda","Australia",-4
"Canada","Australia",-10
"China","Australia",-25.6
"Cyprus","Australia",-9
"Indonesia","Australia",-234.7
"Japan","Australia",-14
"Myanmar","Australia",-2
"New Zealand","Australia",-9
"Papua New Guinea","Australia",-25
"Philippines","Australia",-9
"Russia","Australia",-9
"Solomon Islands","Australia",-11.8
"Sudan","Australia",-5
"Timor-Leste","Australia",-15.7
"United Arab Emirates","Australia",-5
"United Kingdom","Australia",-30
"United States","Australia",-33.4
"Vanuatu","Australia",-20
"Vietnam","Australia",-5
"Zimbabwe","Australia",-22
"Czech Republic","Austria",-13.2
"Germany","Austria",-5
"Hungary","Austria",-2
"United States","Austria",-4.4
"Armenia","Azerbaijan",-32
"Austria","Azerbaijan",-4.4
"Germany","Azerbaijan",-6
"Iran","Azerbaijan",-10
"Turkey","Azerbaijan",-7.4
"Ukraine","Azerbaijan",-0.4
"United States","Azerbaijan",-7
"Cuba","Bahamas",-10
"South Korea","Bahrain",-14.4
"Afghanistan","Bangladesh",-2
"Bhutan","Bangladesh",-4
"India","Bangladesh",-116
"Indonesia","Bangladesh",-5
"Myanmar","Bangladesh",-20
"New Zealand","Bangladesh",-5
"Pakistan","Bangladesh",-5
"Russia","Bangladesh",-10
"Singapore","Bangladesh",-5
"Sri Lanka","Bangladesh",-7.2
"United Kingdom","Bangladesh",-0.4
"United States","Bangladesh",-1.4
"Belgium","Belarus",-2
"Czech Republic","Belarus",-6
"Japan","Belarus",-15
"Lithuania","Belarus",-2
"Nigeria","Belarus",-54
"Romania","Belarus",-6.5
"Russia","Belarus",-2
"United States","Belarus",-10.4
"China","Belgium",-60
"France","Belgium",-10
"Poland","Belgium",-2
"Nigeria","Benin",-5
"India","Bhutan",-39
"Nepal","Bhutan",-40
"Argentina","Bolivia",-5
"Brazil","Bolivia",-2
"Chile","Bolivia",-4
"Peru","Bolivia",-6
"United States","Bolivia",-2
"Venezuela","Bolivia",-10
"Norway","Bosnia and Herzegovina",-10
"Serbia","Bosnia and Herzegovina",-7
"United States","Bosnia and Herzegovina",-2
"Zimbabwe","Botswana",-36.5
"China","Brazil",-5
"Cuba","Brazil",-4
"Holy See","Brazil",-7
"Hungary","Brazil",-10
"India","Brazil",-16
"Mexico","Brazil",-58.2
"Mozambique","Brazil",-2
"Paraguay","Brazil",-2
"South Africa","Brazil",-5
"Taiwan","Brazil",-2
"United Kingdom","Brazil",-9
"United States","Brazil",-38
"Uruguay","Brazil",-2
"United Kingdom","British Indian Ocean Territory",-5
"Belgium","Bulgaria",-4.4
"Czech Republic","Bulgaria",-5
"Libya","Bulgaria",-39
"Kenya","Cambodia",-2
"Thailand","Cambodia",-0.4
"United States","Cambodia",-9.4
"United States","Cameroon",-5
"Afghanistan","Canada",-32
"China","Canada",-5
"India","Canada",-9
"United States","Canada",-29
"Philippines","Cape Verde",-4
"France","Chad",-12
"Sudan","Chad",-32
"Argentina","Chile",-5
"Iraq","Chile",-4
"Peru","Chile",-5
"Puerto Rico","Chile",-2
"Taiwan","Chile",-5.6
"United States","Chile",-5
"Australia","China",-131
"Belarus","China",-2
"Belgium","China",-5
"Canada","China",-16.5
"Cuba","China",-45
"Egypt","China",-2
"Ethiopia","China",-37
"France","China",-2
"Germany","China",-42.4
"Guyana","China",-5
"Hong Kong","China",-8.5
"India","China",-22
"Indonesia","China",-7
"Iran","China",-2
"Israel","China",-9.5
"Japan","China",-25.8
"Kenya","China",-4
"Mexico","China",-5.4
