"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-9.5
"Canada","Afghanistan",-9
"China","Afghanistan",-2
"Finland","Afghanistan",-2
"France","Afghanistan",-7.2
"Georgia","Afghanistan",-7.2
"Ghana","Afghanistan",-2
"Greece","Afghanistan",-5
"India","Afghanistan",-7
"Indonesia","Afghanistan",-5
"Iran","Afghanistan",-21.4
"Italy","Afghanistan",-10
"Pakistan","Afghanistan",-454
"Tajikistan","Afghanistan",-15
"United Arab Emirates","Afghanistan",-2
"United Kingdom","Afghanistan",-13.2
"United States","Afghanistan",-113.2
"Greece","Albania",-20
"Qatar","Algeria",-2
"Sudan","Algeria",-9
"Switzerland","Algeria",-4
"United Kingdom","Algeria",-5
"Western Sahara","Algeria",-10
"Portugal","Angola",-2
"China","Argentina",-4.4
"Israel","Argentina",-10
"Lebanon","Argentina",-10
"Mexico","Argentina",-8.4
"Nicaragua","Argentina",-10
"Paraguay","Argentina",-10
"Puerto Rico","Argentina",-2
"Spain","Argentina",-10
"United States","Argentina",-5.4
"Uruguay","Argentina",-5
"Russia","Armenia",-14
"Turkey","Armenia",-4
"Afghanistan","Australia",-29
"Canada","Australia",-5
"Hong Kong","Australia",-9
"Indonesia","Australia",-5.6
"Italy","Australia",-2
"Libya","Australia",-4
"Malaysia","Australia",-30
"South Africa","Australia",-2
"Sri Lanka","Australia",-5
"United States","Australia",-28.8
"Zimbabwe","Australia",-4.6
"Armenia","Azerbaijan",-96
"India","Azerbaijan",-12
"Iran","Azerbaijan",-82.4
"Kenya","Azerbaijan",-20
"Poland","Azerbaijan",-4
"United States","Azerbaijan",-31.6
"Iran","Bahrain",-10
"India","Bangladesh",-64
"Myanmar","Bangladesh",-23
"United Kingdom","Bangladesh",-5
"United States","Bangladesh",-5
"Japan","Belarus",-4
"Russia","Belarus",-5
"United Kingdom","Belarus",-2
"United States","Belarus",-2
"Thailand","Belgium",-10
"Uganda","Belgium",-5
"Brazil","Bolivia",-2
"India","Bolivia",-27
"Italy","Bolivia",-2
"Uruguay","Bolivia",-2
"Croatia","Bosnia and Herzegovina",-2
"Serbia","Bosnia and Herzegovina",-23
"Turkey","Bosnia and Herzegovina",-2
"Argentina","Brazil",-9
"Bolivia","Brazil",-8
"China","Brazil",-9
"French Guiana","Brazil",-10
"Kazakhstan","Brazil",-5
"Nigeria","Brazil",-6.4
"Romania","Brazil",-4
"Suriname","Brazil",-5
"Uruguay","Brazil",-27
"Iran","Bulgaria",-12
"Israel","Bulgaria",-24
"Lebanon","Bulgaria",-79
"Pakistan","Bulgaria",-9
"Romania","Bulgaria",-10
"Mali","Burkina Faso",-31.5
"Philippines","Cambodia",-8
"Thailand","Cambodia",-10
"United States","Cambodia",-4
"Afghanistan","Canada",-9
"Bolivia","Canada",-9
"Colombia","Canada",-11
"Costa Rica","Canada",-2
"Germany","Canada",-10
"India","Canada",-9
"Philippines","Canada",-5
"United Kingdom","Canada",-10
"United States","Canada",-7
"Vietnam","Canada",-10
"Western Sahara","Canada",-4.4
"United States","Cayman Islands",-5
"Uganda","Central African Republic",-10
"Belgium","Chad",-5
"Senegal","Chad",-15
"Brazil","Chile",-2
"India","Chile",-9
"Philippines","Chile",-0.3
"Spain","Chile",-10
"Australia","China",-6
"Canada","China",-2
"Cuba","China",-0.8
"France","China",-11.4
"Germany","China",-4
"Ghana","China",-2
"Holy See","China",-4
"Hong Kong","China",-18
"India","China",-2
"Japan","China",-26.4
"Kenya","China",-5
"Laos","China",-4
"Malawi","China",-5
"Namibia","China",-5
"Philippines","China",-33
"Russia","China",-18.2
"South Africa","China",-10
"South Korea","China",-7
"Taiwan","China",-17
"Thailand","China",-18
"United Kingdom","China",-33
"United States","China",-150.6
"Vietnam","China",-57.5
"Guatemala","Colombia",-5
"India","Colombia",-46
"Nicaragua","Colombia",-5
"Puerto Rico","Colombia",-5
"United States","Colombia",-22
"Venezuela","Colombia",-7
"Democratic Republic of Congo","Congo",-19
"Russia","Congo",-2
"Rwanda","Congo",-7
"Tanzania","Congo",-4
"Turkey","Congo",-5
"Uganda","Congo",-14.5
"Zambia","Congo",-2
"Venezuela","Costa Rica",-2
"Armenia","Cote d'Ivoire",-2
"Israel","Cote d'Ivoire",-5
"Netherlands","Cote d'Ivoire",-2
"Bosnia and Herzegovina","Croatia",-6
"Serbia","Croatia",-10
"Slovenia","Croatia",-13.8
"China","Cuba",-0.8
"United States","Cuba",-17
"United States","Curaçao",-2
"Greece","Cyprus",-9
"Iran","Cyprus",-14
"Israel","Cyprus",-4
"Lebanon","Cyprus",-34
"Turkey","Cyprus",-4
"Germany","Czech Republic",-2
"Syria","Czech Republic",-10
"Congo","Democratic Republic of Congo",-51.6
"France","Democratic Republic of Congo",-4
"Namibia","Democratic Republic of Congo",-7.2
"Rwanda","Democratic Republic of Congo",-43.5
"South Korea","Democratic Republic of Congo",-0.4
"Uganda","Democratic Republic of Congo",-21
"United Kingdom","Democratic Republic of Congo",-2.4
"Croatia","Denmark",-9
"India","Denmark",-2
"Nigeria","Dominican Republic",-7
"United States","Ecuador",-0.4
"Greece","Egypt",-8
"Iran","Egypt",-4
"Israel","Egypt",-24.4
"Libya","Egypt",-17.8
"Saudi Arabia","Egypt",-2
"Sudan","Egypt",-19
"Sweden","Egypt",-5
"Syria","Egypt",-8.5
"Turkey","Egypt",-8
"United Arab Emirates","Egypt",-4
"United States","Egypt",-14
"Canada","Eritrea",-5
"Egypt","Eritrea",-5
"Israel","Eritrea",-19
"United States","Eritrea",-16
"Finland","Estonia",-10
"Russia","Estonia",-4
"United States","Estonia",-5
"Egypt","Ethiopia",-5
"Eritrea","Ethiopia",-2
"France","Ethiopia",-10
"Kenya","Ethiopia",-10
"Somalia","Ethiopia",-37.5
"South Africa","Ethiopia",-5
"Sudan","Ethiopia",-10
"New Zealand","Fiji",-36.2
"United Kingdom","Fiji",-11.2
"Estonia","Finland",-4.4
"Afghanistan","France",-80
"Cambodia","France",-4
"China","France",-10
"Cote d'Ivoire","France",-2
"French Guiana","France",-9
"India","France",-2
"Iran","France",-2
"Lebanon","France",-9.5
"Libya","France",-7.2
"Peru","France",-5
"Russia","France",-2
"Spain","France",-8
"Sudan","France",-2
"Syria","France",-2
"Turkey","France",-4
"United Kingdom","France",-4
"United States","France",-5
"Yemen","France",-18
"Brazil","French Guiana",-5
"South Africa","Gabon",-9.5
"Greece","Georgia",-10
"Italy","Georgia",-10
"Lithuania","Georgia",-5
"Russia","Georgia",-11
"United States","Georgia",-15
"Costa Rica","Germany",-2
"Iran","Germany",-28
"Israel","Germany",-33.5
"Italy","Germany",-5
"Russia","Germany",-2
"United States","Germany",-31.4
"Afghanistan","Ghana",-0.8
"Niger","Ghana",-10
"Nigeria","Ghana",-18
"Pakistan","Ghana",-9
"Spain","Ghana",-2
"United States","Ghana",-10
"Spain","Gibraltar",-5
"Ecuador","Greece",-2
"Egypt","Greece",-10.5
"Georgia","Greece",-10
"Germany","Greece",-4
"Honduras","Guatemala",-9
"Mexico","Guatemala",-10
"United States","Guatemala",-5
"Israel","Holy See",-2
"Senegal","Holy See",-4
"Spain","Honduras",-18
"United States","Honduras",-30
"Australia","Hong Kong",-25
"China","Hong Kong",-2
"Singapore","Hong Kong",-5
"South Korea","Hong Kong",-5
"Canada","Hungary",-2
"Croatia","Hungary",-10
"Romania","Hungary",-2
"Slovakia","Hungary",-5
"Afghanistan","India",-2
"Australia","India",-36.4
"Bangladesh","India",-48
"Bolivia","India",-10
"Chile","India",-10
"China","India",-20
"Colombia","India",-2
"France","India",-18
"Greece","India",-9
"Indonesia","India",-5
"Italy","India",-22
