"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-34
"France","Afghanistan",-77.6
"Germany","Afghanistan",-10
"India","Afghanistan",-9
"Iran","Afghanistan",-10
"Italy","Afghanistan",-7.2
"Pakistan","Afghanistan",-492.6
"Russia","Afghanistan",-9.5
"Slovakia","Afghanistan",-2
"Suriname","Afghanistan",-0.4
"Sweden","Afghanistan",-5
"Tajikistan","Afghanistan",-30
"Turkey","Afghanistan",-10
"United Kingdom","Afghanistan",-73.3
"United States","Afghanistan",-206.6
"Zimbabwe","Afghanistan",-5
"Germany","Albania",-5
"Greece","Albania",-10
"Kosovo","Albania",-19.4
"Italy","Algeria",-5
"Morocco","Algeria",-10
"United States","Algeria",-2
"Portugal","Angola",-5
"Sao Tome and Principe","Angola",-9
"United States","Angola",-5
"Guatemala","Argentina",-29
"Iran","Argentina",-61
"Italy","Argentina",-5
"Lebanon","Argentina",-10
"Netherlands","Argentina",-5
"Nicaragua","Argentina",-10
"Paraguay","Argentina",-5
"Spain","Argentina",-10
"United States","Argentina",-2
"Azerbaijan","Armenia",-4
"Spain","Armenia",-5
"Turkey","Armenia",-12
"Venezuela","Armenia",-5
"Afghanistan","Australia",-11.4
"Bermuda","Australia",-2
"China","Australia",-2
"Greece","Australia",-4
"Indonesia","Australia",-12
"Iran","Australia",-7
"Israel","Australia",-15
"Jamaica","Australia",-7
"Kenya","Australia",-9
"Myanmar","Australia",-10
"Philippines","Australia",-14.2
"Sweden","Australia",-17
"United Kingdom","Australia",-26
"United States","Australia",-17
"Bosnia and Herzegovina","Austria",-0.3
"India","Austria",-5
"Lithuania","Austria",-36
"Russia","Austria",-5
"Afghanistan","Azerbaijan",-22
"Armenia","Azerbaijan",-27
"Iran","Azerbaijan",-55
"Belarus","Bahrain",-5
"Iran","Bahrain",-5
"Saudi Arabia","Bahrain",-40
"Turkey","Bahrain",-10
"India","Bangladesh",-10
"Indonesia","Bangladesh",-5
"China","Belarus",-9.5
"Lithuania","Belarus",-0.3
"Poland","Belarus",-2
"Russia","Belarus",-8.5
"Ukraine","Belarus",-8
"United Kingdom","Belarus",-2.6
"United States","Belarus",-0.3
"Germany","Belgium",-0.4
"Monaco","Belgium",-0.3
"Senegal","Belgium",-4
"Argentina","Bolivia",-2
"Chile","Bolivia",-5
"Colombia","Bolivia",-10
"Iran","Bolivia",-2
"United States","Bolivia",-2
"Croatia","Bosnia and Herzegovina",-4
"Serbia","Bosnia and Herzegovina",-11
"Bolivia","Brazil",-5
"United Kingdom","Brazil",-10
"United States","Brazil",-2
"Philippines","Brunei",-4
"Thailand","Brunei",-4
"Greece","Bulgaria",-5
"Italy","Bulgaria",-5
"Luxembourg","Bulgaria",-4
"United States","Bulgaria",-5
"Kenya","Burundi",-2
"Somalia","Burundi",-4
"United Kingdom","Burundi",-5.6
"Netherlands","Cambodia",-5
"Thailand","Cambodia",-76.4
"Greece","Cameroon",-5
"Iran","Cameroon",-7.2
"China","Canada",-2
"Cuba","Canada",-5
"Greece","Canada",-5
"Japan","Canada",-2
"Senegal","Canada",-5
"United States","Canada",-22
"Chad","Central African Republic",-9.5
"Libya","Central African Republic",-10
"Libya","Chad",-5
"Senegal","Chad",-5
"Bolivia","Chile",-2
"Peru","Chile",-4
"Philippines","Chile",-2
"United Kingdom","Chile",-5
"United States","Chile",-5
"Canada","China",-42
"France","China",-10
"Holy See","China",-2
"Hong Kong","China",-44.5
"India","China",-11.2
"Indonesia","China",-5
"Iraq","China",-10
"Israel","China",-2
"Italy","China",-6.5
"Japan","China",-13.4
"Mexico","China",-9.2
"Nepal","China",-5
"New Zealand","China",-0.4
"Nigeria","China",-5
"Philippines","China",-12
"Singapore","China",-5
"Syria","China",-6.5
"United States","China",-47.4
"Vietnam","China",-24
"Bolivia","Colombia",-5
"Mexico","Colombia",-5
"Morocco","Colombia",-10
"Spain","Colombia",-5
"United States","Colombia",-19
"Venezuela","Colombia",-5
"Angola","Congo",-5
"United States","Costa Rica",-0.4
"Argentina","Cote d'Ivoire",-10
"Austria","Croatia",-55
"Bosnia and Herzegovina","Croatia",-5
"Netherlands","Croatia",-10
"Norway","Croatia",-2
"Poland","Croatia",-2
"Serbia","Croatia",-24
"Slovenia","Croatia",-5
