"SCountry","TCountry","Intensity"
"Canada","Afghanistan",-30
"Germany","Afghanistan",-2
"India","Afghanistan",-9
"Indonesia","Afghanistan",-27
"Iran","Afghanistan",-14.4
"Italy","Afghanistan",-17.2
"Kyrgyzstan","Afghanistan",-10
"Nauru","Afghanistan",-5
"Pakistan","Afghanistan",-277.9
"Papua New Guinea","Afghanistan",-5
"Poland","Afghanistan",-7.2
"Romania","Afghanistan",-14.4
"Russia","Afghanistan",-0.4
"South Korea","Afghanistan",-14.5
"Spain","Afghanistan",-7.2
"Tajikistan","Afghanistan",-9.2
"Tonga","Afghanistan",-14.4
"Turkey","Afghanistan",-30
"United Arab Emirates","Afghanistan",-5
"United Kingdom","Afghanistan",-104.8
"United States","Afghanistan",-335.2
"Uzbekistan","Afghanistan",-9.4
"Serbia","Albania",-31
"Mali","Algeria",-5
"Mauritania","Algeria",-10
"Morocco","Algeria",-2.3
"South Africa","Algeria",-5
"Turkey","Algeria",-10
"Democratic Republic of Congo","Angola",-4
"United States","Antarctica",-2
"China","Argentina",-9
"Colombia","Argentina",-2
"Israel","Argentina",-7
"United States","Argentina",-10
"Uruguay","Argentina",-2
"Azerbaijan","Armenia",-32
"Iran","Armenia",-6.5
"Turkey","Armenia",-2
"United States","Armenia",-5
"Afghanistan","Australia",-9
"Bermuda","Australia",-8
"Canada","Australia",-0.3
"Fiji","Australia",-105
"France","Australia",-9
"Hungary","Australia",-19
"India","Australia",-28
"Indonesia","Australia",-55.8
"Ireland","Australia",-2
"Japan","Australia",-6.5
"Nauru","Australia",-4
"New Zealand","Australia",-26
"Papua New Guinea","Australia",-5
"Samoa","Australia",-0.8
"Solomon Islands","Australia",-0.8
"Timor-Leste","Australia",-18.4
"Turkey","Australia",-5
"United Kingdom","Australia",-10
"United States","Australia",-61
"Yemen","Australia",-5
"Russia","Austria",-2
"Slovenia","Austria",-2
"United States","Austria",-5
"Armenia","Azerbaijan",-480.1
"France","Azerbaijan",-4
"Georgia","Azerbaijan",-2
"Germany","Azerbaijan",-2
"Iran","Azerbaijan",-9
"Russia","Azerbaijan",-5.6
"Turkey","Azerbaijan",-5
"Uganda","Azerbaijan",-2
"United States","Azerbaijan",-5
"Afghanistan","Bangladesh",-9
"India","Bangladesh",-32.5
"Qatar","Bangladesh",-5
"Tajikistan","Bangladesh",-5
"United States","Belarus",-10
"Democratic Republic of Congo","Belgium",-2
"India","Belgium",-14
"Monaco","Belgium",-2
"Poland","Belgium",-5
"Romania","Belgium",-10
"Russia","Belgium",-2
"United States","Benin",-14.4
"Australia","Bermuda",-17
"Brazil","Bolivia",-22
"Paraguay","Bolivia",-20
"Uruguay","Bolivia",-4
"Netherlands","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-74.7
"Turkey","Bosnia and Herzegovina",-5
"United Kingdom","Bosnia and Herzegovina",-10
"Bolivia","Brazil",-24
"Colombia","Brazil",-19
"Iran","Brazil",-10
"Paraguay","Brazil",-20
"United States","Brazil",-5
"Uruguay","Brazil",-2
"Senegal","Burkina Faso",-20
"Sudan","Burkina Faso",-4
"United States","Burkina Faso",-4
"Somalia","Burundi",-64.4
"Singapore","Cambodia",-5
"Thailand","Cambodia",-36.4
"Nigeria","Cameroon",-10
"Cuba","Canada",-15
"Cyprus","Canada",-10
"Iran","Canada",-2
"Russia","Canada",-2
"Rwanda","Canada",-5
"United States","Canada",-20
"United States","Cape Verde",-10
"Sudan","Chad",-69
"Costa Rica","Chile",-2
"Cuba","Chile",-10.4
"Ecuador","Chile",-9
"Italy","Chile",-5
"Mexico","Chile",-20
"United States","Chile",-10
"Venezuela","Chile",-33
"Australia","China",-14.4
"Belgium","China",-6
"Brazil","China",-5
"Canada","China",-5
"France","China",-5
"Italy","China",-10
"Japan","China",-23
"Malaysia","China",-2
"Nepal","China",-20
"Nigeria","China",-32
"North Korea","China",-7
"Norway","China",-10
"Pakistan","China",-4.4
"Philippines","China",-23
"Russia","China",-0.4
"South Korea","China",-4
"Taiwan","China",-14
"United Arab Emirates","China",-5
"United Kingdom","China",-25
"United States","China",-109.7
"Vietnam","China",-5
"Australia","Christmas Island",-10
"Bolivia","Colombia",-16
"Brazil","Colombia",-2
"Ecuador","Colombia",-26.4
"Guatemala","Colombia",-10
"India","Colombia",-2
"Mexico","Colombia",-4
"Pakistan","Colombia",-5
"Panama","Colombia",-5
"Russia","Colombia",-0.4
"Spain","Colombia",-32.6
"United States","Colombia",-36
"Venezuela","Colombia",-1309.1
"Uganda","Congo",-19
"Chile","Costa Rica",-5
"Haiti","Costa Rica",-2
"Nicaragua","Costa Rica",-5
"Spain","Costa Rica",-2
"Burundi","Croatia",-5
"Canada","Cuba",-9.4
"Chile","Cuba",-2
"El Salvador","Cuba",-10
"Italy","Cuba",-0.4
"Mexico","Cuba",-8
"Spain","Cuba",-9
"United States","Cuba",-30
"Venezuela","Cuba",-76.5
"Turkey","Cyprus",-6
"United States","Cyprus",-7.1
"Croatia","Czech Republic",-5
"Germany","Czech Republic",-5
"Slovakia","Czech Republic",-4
"Congo","Democratic Republic of Congo",-5
"Somalia","Democratic Republic of Congo",-14
"Uganda","Democratic Republic of Congo",-14
"Somalia","Denmark",-7
"Puerto Rico","Dominican Republic",-5
"Chile","Ecuador",-5
"Colombia","Ecuador",-5
"Puerto Rico","Ecuador",-2
"United States","Ecuador",-0.4
"Venezuela","Ecuador",-4
"Algeria","Egypt",-9
"Ethiopia","Egypt",-5
"Israel","Egypt",-54.5
"Jordan","Egypt",-19.5
"Senegal","Egypt",-10
"Sudan","Egypt",-2
"United States","Egypt",-20.4
"Costa Rica","El Salvador",-7
"Cuba","El Salvador",-10
"Mexico","El Salvador",-9
"Venezuela","El Salvador",-24
"Egypt","Eritrea",-30
