"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-110
"Belgium","Afghanistan",-29
"Canada","Afghanistan",-12
"China","Afghanistan",-10
"Czech Republic","Afghanistan",-21.6
"Egypt","Afghanistan",-10
"France","Afghanistan",-17.2
"Germany","Afghanistan",-32.4
"India","Afghanistan",-32.8
"Indonesia","Afghanistan",-50
"Iran","Afghanistan",-31.4
"Italy","Afghanistan",-12
"New Zealand","Afghanistan",-14.4
"Pakistan","Afghanistan",-3233.5
"Qatar","Afghanistan",-10
"Romania","Afghanistan",-10
"South Korea","Afghanistan",-2
"Spain","Afghanistan",-21.6
"Tajikistan","Afghanistan",-24.8
"United Arab Emirates","Afghanistan",-27.5
"United Kingdom","Afghanistan",-27.2
"United States","Afghanistan",-1136.7
"Uzbekistan","Afghanistan",-14.2
"Greece","Albania",-20
"Serbia","Albania",-17
"Turkey","Albania",-20
"Bosnia and Herzegovina","Algeria",-15
"Libya","Algeria",-20
"Spain","Algeria",-10
"Congo","Angola",-2
"Mexico","Argentina",-4
"Venezuela","Argentina",-2
"Australia","Armenia",-2
"Azerbaijan","Armenia",-28
"Israel","Armenia",-4
"Russia","Armenia",-15.6
"Turkey","Armenia",-20
"United States","Armenia",-9.6
"Afghanistan","Australia",-20
"Bangladesh","Australia",-18
"China","Australia",-8.4
"Fiji","Australia",-8
"India","Australia",-30.8
"Indonesia","Australia",-7
"Kuwait","Australia",-15
"Marshall Islands","Australia",-4.4
"Philippines","Australia",-30
"Serbia","Australia",-33.8
"Thailand","Australia",-67
"Turkey","Australia",-4
"United Kingdom","Australia",-5
"United States","Australia",-27
"Vietnam","Australia",-15
"Brazil","Austria",-18.5
"Russia","Austria",-5
"Armenia","Azerbaijan",-240.4
"Iran","Azerbaijan",-0.4
"Russia","Azerbaijan",-9
"Turkey","Azerbaijan",-8
"Afghanistan","Bangladesh",-10
"Hungary","Bangladesh",-10
"India","Bangladesh",-9
"Myanmar","Bangladesh",-9.5
"Australia","Belarus",-5
"Russia","Belarus",-18
"Syria","Belarus",-2
"Turkey","Belarus",-2
"Canada","Belgium",-4.4
"Czech Republic","Belgium",-2
"Russia","Belgium",-4
"United States","Belgium",-5
"Brazil","Benin",-2
"Argentina","Bolivia",-2
"Chile","Bolivia",-10
"Peru","Bolivia",-20.2
"United States","Bolivia",-14
"Canada","Bosnia and Herzegovina",-5
"Serbia","Bosnia and Herzegovina",-41
"United States","Bosnia and Herzegovina",-15.6
"Zimbabwe","Botswana",-9
"Bolivia","Brazil",-2
"Ecuador","Brazil",-2
"India","Brazil",-28
"Iran","Brazil",-14
"Italy","Brazil",-4
"Paraguay","Brazil",-17
"Sri Lanka","Brazil",-9
"United Kingdom","Brazil",-13.9
"United States","Brazil",-18
"Venezuela","Brazil",-2
"Belgium","Bulgaria",-2
"Greece","Bulgaria",-5
"Tanzania","Bulgaria",-5
"Eritrea","Burundi",-2
"Somalia","Burundi",-10
"Thailand","Cambodia",-55.4
"Zambia","Cambodia",-5
"Afghanistan","Canada",-10
"Australia","Canada",-10
"Bangladesh","Canada",-9
"China","Canada",-10.6
"Czech Republic","Canada",-5
"Egypt","Canada",-4
"Haiti","Canada",-4.4
"India","Canada",-2.4
"Nigeria","Canada",-9
"Philippines","Canada",-2
"Poland","Canada",-2
"Russia","Canada",-133
"Rwanda","Canada",-18
"Sri Lanka","Canada",-31
"United Kingdom","Canada",-10
"United States","Canada",-4
"Belgium","Chad",-5
"France","Chad",-0.4
"Gabon","Chad",-7
"Senegal","Chad",-4.4
"Spain","Chad",-0.3
"Sudan","Chad",-160.1
"United States","Chad",-18
"Ecuador","Chile",-4
"Peru","Chile",-6
"United States","Chile",-4
"Venezuela","Chile",-8.4
"Australia","China",-10
"Brazil","China",-10
"Canada","China",-6.4
"Czech Republic","China",-6.5
"Greece","China",-4
"Grenada","China",-4
"Hong Kong","China",-5
"India","China",-9
"Iran","China",-10
"Japan","China",-28.2
"Malawi","China",-10
"Mexico","China",-35
"North Korea","China",-2
"Pakistan","China",-2
"Papua New Guinea","China",-22
"Russia","China",-5.4
"South Africa","China",-5
"South Korea","China",-14
"Spain","China",-2
"Sri Lanka","China",-15
"Taiwan","China",-70
"Thailand","China",-4
"Uganda","China",-6
"United Kingdom","China",-5
"United States","China",-53.5
"Vietnam","China",-2
"Argentina","Colombia",-5
"Costa Rica","Colombia",-5
"Ecuador","Colombia",-11.2
