"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-24
"Bhutan","Afghanistan",-20
"Canada","Afghanistan",-12.2
"Czech Republic","Afghanistan",-7.2
"France","Afghanistan",-24.4
"Germany","Afghanistan",-20
"India","Afghanistan",-19
"Iran","Afghanistan",-30
"Italy","Afghanistan",-7.2
"Lithuania","Afghanistan",-7.2
"Nepal","Afghanistan",-10
"Netherlands","Afghanistan",-2
"Pakistan","Afghanistan",-75.6
"Poland","Afghanistan",-24.4
"Russia","Afghanistan",-24.4
"South Korea","Afghanistan",-7.2
"Spain","Afghanistan",-7.2
"Turkey","Afghanistan",-10
"United Kingdom","Afghanistan",-40
"United States","Afghanistan",-264
"Greece","Albania",-10
"Hungary","Albania",-10
"Serbia","Albania",-6
"Morocco","Algeria",-2
"Argentina","Angola",-2
"Ireland","Angola",-2
"Paraguay","Argentina",-5
"Spain","Argentina",-10
"United Kingdom","Argentina",-10
"United States","Argentina",-22
"Azerbaijan","Armenia",-62
"Turkey","Armenia",-5
"Afghanistan","Australia",-70
"Bulgaria","Australia",-5
"China","Australia",-24
"Croatia","Australia",-2
"Fiji","Australia",-174.4
"Greece","Australia",-65
"Hong Kong","Australia",-5
"Indonesia","Australia",-34
"Iraq","Australia",-9
"Japan","Australia",-4.8
"Myanmar","Australia",-6.5
"New Zealand","Australia",-9
"Norfolk Island","Australia",-5
"Saudi Arabia","Australia",-4
"United Kingdom","Australia",-28
"United States","Australia",-32.4
"Yemen","Australia",-10
"Cambodia","Austria",-10
"France","Austria",-29
"Armenia","Azerbaijan",-97
"Cameroon","Azerbaijan",-2
"Egypt","Azerbaijan",-10
"Iran","Azerbaijan",-14
"Iraq","Azerbaijan",-9.2
"Russia","Azerbaijan",-4
"United Kingdom","Azerbaijan",-5
"United States","Azerbaijan",-2
"United States","Bahamas",-5
"Israel","Bahrain",-10
"Australia","Bangladesh",-2
"Bahrain","Bangladesh",-10
"Cameroon","Bangladesh",-10
"India","Bangladesh",-78
"Myanmar","Bangladesh",-2
"Pakistan","Bangladesh",-21
"Portugal","Bangladesh",-2
"United Kingdom","Bangladesh",-0.2
"United States","Bangladesh",-0.3
"Serbia","Belarus",-5
"United States","Belarus",-70.9
"Venezuela","Belarus",-11.2
"Congo","Belgium",-29.4
"Democratic Republic of Congo","Belgium",-20.6
"France","Belgium",-2
"Morocco","Belgium",-7
"Rwanda","Belgium",-10
"United States","Belgium",-5
"Saint Kitts and Nevis","Bermuda",-2
"Afghanistan","Bhutan",-10
"India","Bhutan",-5
"Brazil","Bolivia",-5
"India","Bolivia",-4
"Peru","Bolivia",-8
"Venezuela","Bolivia",-4
"Croatia","Bosnia and Herzegovina",-9
"Serbia","Bosnia and Herzegovina",-14
"United States","Bosnia and Herzegovina",-15
"Germany","Brazil",-2
"India","Brazil",-28
"Kuwait","Brazil",-14
"Poland","Brazil",-5
"Spain","Brazil",-2
"Switzerland","Brazil",-2
"United States","Brazil",-5
"Greece","Bulgaria",-5
"Spain","Bulgaria",-5
"Burundi","Burkina Faso",-2
"Burkina Faso","Burundi",-2
"France","Burundi",-20
"Austria","Cambodia",-2
"Thailand","Cambodia",-15
"United Kingdom","Cambodia",-9.5
"India","Cameroon",-2
"United States","Cameroon",-2
