"SCountry","TCountry","Intensity"
"Australia","Afghanistan",-0.4
"Canada","Afghanistan",-5
"Denmark","Afghanistan",-2
"Latvia","Afghanistan",-7.2
"Pakistan","Afghanistan",-203
"Slovakia","Afghanistan",-5
"South Korea","Afghanistan",-0.6
"Tajikistan","Afghanistan",-17
"Turkmenistan","Afghanistan",-9.5
"United States","Afghanistan",-104.2
"Greece","Albania",-5
"Egypt","Algeria",-10
"France","Algeria",-15.7
"Iraq","Algeria",-10
"Mali","Algeria",-15
"Tunisia","Algeria",-5
"Yemen","Algeria",-10
"France","Argentina",-10
"Guatemala","Argentina",-5
"Holy See","Argentina",-2.8
"Iraq","Argentina",-8.8
"Mexico","Argentina",-8
"United States","Argentina",-9.4
"Azerbaijan","Armenia",-47
"Russia","Armenia",-7
"Turkey","Armenia",-4
"Ukraine","Armenia",-10
"Afghanistan","Australia",-18
"Austria","Australia",-12
"Bangladesh","Australia",-2
"Brazil","Australia",-9
"Cambodia","Australia",-11.5
"China","Australia",-12
"India","Australia",-23
"Indonesia","Australia",-5
"Iran","Australia",-6
"Iraq","Australia",-328.3
"Malaysia","Australia",-5
"Nigeria","Australia",-66.4
"Philippines","Australia",-30
"Portugal","Australia",-5
"Russia","Australia",-11.2
"Solomon Islands","Australia",-2
"South Korea","Australia",-10
"Sweden","Australia",-2
"Syria","Australia",-11
"Thailand","Australia",-2
"Timor-Leste","Australia",-2
"United Kingdom","Australia",-10
"United States","Australia",-16.4
"Armenia","Azerbaijan",-67
"Canada","Azerbaijan",-2
"Iran","Azerbaijan",-9.4
"Russia","Azerbaijan",-0.4
"Turkey","Azerbaijan",-21.5
"United States","Azerbaijan",-8
"Lebanon","Bahamas",-2
"Iran","Bahrain",-4
"India","Bangladesh",-65
"Iraq","Bangladesh",-19
"Lithuania","Belarus",-10
"France","Belgium",-4.4
"Greece","Belgium",-2
"Russia","Belgium",-12.8
"Tunisia","Belgium",-2
"United Kingdom","Belgium",-2
"Nigeria","Benin",-7
"India","Bermuda",-5
"India","Bhutan",-4
"India","Bolivia",-4
"United States","Bolivia",-2
"United States","Bosnia and Herzegovina",-4
"Austria","Botswana",-5.8
"South Africa","Botswana",-9
"United States","Botswana",-2
"Germany","Brazil",-0.8
"India","Brazil",-10.3
"Japan","Brazil",-0.8
"Madagascar","Brazil",-4
"Nigeria","Brazil",-2
"United Kingdom","Brazil",-2
"United States","Brazil",-17
"Greece","Bulgaria",-11.5
"Iraq","Bulgaria",-4.4
"Kenya","Bulgaria",-4.4
"Liechtenstein","Bulgaria",-4
"Russia","Bulgaria",-2
"Syria","Bulgaria",-2
"Thailand","Bulgaria",-5
"Turkey","Bulgaria",-5
"United States","Bulgaria",-5
"France","Burkina Faso",-2
"Brunei","Cambodia",-10
"Thailand","Cambodia",-5
"Central African Republic","Cameroon",-16
"Nigeria","Cameroon",-121.3
"Russia","Cameroon",-5
"China","Canada",-10
"Cuba","Canada",-10
"Germany","Canada",-4
"Iraq","Canada",-204.4
"Japan","Canada",-5
"Philippines","Canada",-16.4
"Russia","Canada",-11.2
"United States","Canada",-20
"Burkina Faso","Central African Republic",-10
"France","Central African Republic",-12.2
"Democratic Republic of Congo","Chad",-2
"Libya","Chad",-20
"Mali","Chad",-9
"Senegal","Chad",-5
"Sudan","Chad",-2
"Argentina","Chile",-2
"Ecuador","Chile",-10
"Afghanistan","China",-10
"Canada","China",-49
"Ecuador","China",-7.2
"Egypt","China",-5.8
"France","China",-5
"Germany","China",-5
"Ghana","China",-5
"Hong Kong","China",-137.9
"India","China",-26.2
"Indonesia","China",-9.5
"Iran","China",-2
"Japan","China",-39.4
"Macao","China",-6.5
"Malaysia","China",-10
"Mozambique","China",-10
"Myanmar","China",-10
"Nigeria","China",-5
"North Korea","China",-52.1
"Pakistan","China",-8
"Philippines","China",-22
"South Africa","China",-34
"South Korea","China",-5
"Sri Lanka","China",-5
"Switzerland","China",-15
"Taiwan","China",-42.1
"Thailand","China",-10
"United Kingdom","China",-20.4
"United States","China",-74.5
"Vietnam","China",-19
"Yemen","China",-5
"Zimbabwe","China",-6
"Chile","Colombia",-5
"Guatemala","Colombia",-5
"India","Colombia",-2
"Kenya","Colombia",-5
"Democratic Republic of Congo","Congo",-7.2
"Nigeria","Congo",-15
"Uganda","Congo",-10
"United States","Congo",-2
"Zambia","Congo",-5
"Germany","Costa Rica",-20
"Ghana","Cote d'Ivoire",-9
"Netherlands","Cote d'Ivoire",-5
"Angola","Cuba",-7
"El Salvador","Cuba",-12
"United States","Cuba",-31
"Venezuela","Cuba",-2
"Turkey","Cyprus",-4
"Iran","Czech Republic",-0.8
"Monaco","Czech Republic",-2
"Peru","Czech Republic",-5
"United States","Czech Republic",-9
"Congo","Democratic Republic of Congo",-14
"Kenya","Democratic Republic of Congo",-10
"Iran","Denmark",-12
"Lebanon","Denmark",-9
"United States","Denmark",-8
"United States","Dominican Republic",-15
"Spain","Ecuador",-5
"Algeria","Egypt",-2
"France","Egypt",-4.4
"Greece","Egypt",-2
"Iraq","Egypt",-40
"Israel","Egypt",-11
"Jordan","Egypt",-7
"Lebanon","Egypt",-2
"Libya","Egypt",-15.6
"Qatar","Egypt",-77.8
"Saudi Arabia","Egypt",-5
"Sudan","Egypt",-10
"Syria","Egypt",-10
"Turkey","Egypt",-12.5
"United Arab Emirates","Egypt",-7
"United States","Egypt",-21.8
"Israel","Eritrea",-4.4
"Nigeria","Eritrea",-7.8
"Germany","Estonia",-10
"Lithuania","Estonia",-7.2
"Russia","Estonia",-222
"United States","Estonia",-7.2
"Eritrea","Ethiopia",-9
"France","Ethiopia",-30
"Kenya","Ethiopia",-10
"Tanzania","Ethiopia",-10
"United States","Ethiopia",-10
"Yemen","Ethiopia",-10
"Zambia","Ethiopia",-10
"Philippines","Fiji",-27
"Sweden","Fiji",-2
"Syria","Fiji",-186.4
"Italy","Finland",-2
"United States","Finland",-24
"Algeria","France",-559.3
"Azerbaijan","France",-2
"Belgium","France",-10
"Cameroon","France",-2
"Canada","France",-7.2
"China","France",-10
"Egypt","France",-57
"Germany","France",-18.2
"Greece","France",-2
"Indonesia","France",-2
"Iran","France",-2
"Iraq","France",-493.3
"Mozambique","France",-2
"Nepal","France",-10
"Niger","France",-2
"Nigeria","France",-2
"Norway","France",-5.8
"Poland","France",-2
"Russia","France",-11.6
"San Marino","France",-2
"Syria","France",-14
"Tunisia","France",-2
"Turkey","France",-20
"United Kingdom","France",-7
"United States","France",-37
"Uruguay","France",-2
"Greece","Georgia",-5
"Russia","Georgia",-17.2
"United Kingdom","Georgia",-5
"United States","Georgia",-28
"Argentina","Germany",-12
"Bangladesh","Germany",-2
"Brazil","Germany",-0.8
