"TSectors","Intensity"
"Agricultural",17.5
"Banned Parties",0
"Business",0
"Criminals",68.5
"Defense",0
"Dissident",227.5
"Education",25.5
"Elite",0
"Executive",0
"General Population",1838.5
"Government",705.400000000001
"Intelligence Ministry",0
"Interior",0
"International Religious",16.5
"Judicial",25.1
"Kurd (Ethnic Group)",364.5
"Labor",0
"Legal",17.1
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",1276.3
"National Religious",0
"Nongovernmental Organizations",17.1
"Parties",0
"Police",0
"Protestors",0
"Provincial",59.7
"Radicals",121.4
"Rebel",0
"Social",257.6
"Sunni",0
"Unidentified Forces",851.5
