"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",22
"Defense",9
"Dissident",187
"Education",25
"Elite",8
"Executive",10
"General Population",1614.8
"Government",566.4
"Intelligence Ministry",0
"Interior",5.1
"International Religious",13.2
"Judicial",12
"Kurd (Ethnic Group)",0
"Labor",14
"Legal",0
"Legislative",9.4
"Local",17
"Media",9
"Medical",9
"Military",175.4
"Muslim",0
"National Religious",15
"Nongovernmental Organizations",0
"Parties",0
"Police",348.6
"Protestors",0
"Provincial",14.2
"Radicals",0
"Rebel",49
"Social",1013
"Sunni",9
"Unidentified Forces",204.6
