"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",41.9
"Center Right",0
"Centrist",28.5
"Criminals",89.9
"Dissident",228.5
"Education",434.5
"Executive",63
"General Population",984.1
"Government",543.4
"Human Rights IGOs",50.9
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",100.9
"International Religious",0
"Labor",0
"Local",0
"Media",49.9
"Medical",45.9
"Military",1579.3
"Muslim",583.1
"National Religious",211.7
"News",39.9
"Nongovernmental Organization (International)",49.9
"Nongovernmental Organizations",40.9
"Parties",0
"Police",0
"Protestors",107.9
"Provincial",0
"Radicals",100.9
"Rebel",0
"Social",728.200000000001
"Unidentified Forces",788.6
