"TSectors","Intensity"
"(National) Minor Party",5
"Air Force",0
"Army",0
"Business",6.5
"Center Right",6
"Centrist",0
"Criminals",0
"Dissident",81
"Education",0
"Executive",0
"General Population",0
"Government",123.3
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",8
"International Ethnic",0
"International Religious",19
"Labor",61
"Local",3.6
"Media",6
"Medical",0
"Military",0
"Muslim",0
"National Religious",73.1
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",6.5
"Parties",0
"Police",38
"Protestors",0
"Provincial",0
"Radicals",21
"Rebel",41
"Social",854.6
"Unidentified Forces",277.2
