"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",62.5
"Defense",0
"Dissident",61
"Education",21
"Elite",0
"Executive",0
"General Population",1159.2
"Government",296.3
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",38.6
"Kurd (Ethnic Group)",7.40000000000001
"Labor",0
"Legal",2
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",1035.5
"National Religious",0
"Nongovernmental Organizations",3
"Parties",3.2
"Police",0
"Protestors",0
"Provincial",0.7
"Radicals",23
"Rebel",0
"Social",16.5
"Sunni",0
"Unidentified Forces",404.4
