"TSectors","Intensity"
"(National) Minor Party",1
"Air Force",0
"Army",3
"Business",3
"Center Right",0
"Centrist",0
"Criminals",85.3
"Dissident",18
"Education",12
"Executive",0
"General Population",384.4
"Government",204.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",13
"International Ethnic",0
"International Religious",17.6
"Labor",16
"Local",0
"Media",1
"Medical",13
"Military",0
"Muslim",8
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",9.4
"Parties",0
"Police",0
"Protestors",24.3
"Provincial",0
"Radicals",3
"Rebel",0
"Social",161.6
"Unidentified Forces",94
