"TSectors","Intensity"
"Agricultural",0
"Army",95.3
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",108.1
"Education",127.6
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",0
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",108.1
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",95.1
"Military",96.1
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",97.3
"Protestors",116.6
"Radicals",0
"Radio News",0
"Rebel",0
"Social",124.1
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
