"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",39
"Center Right",0
"Centrist",19
"Criminals",150
"Dissident",116
"Education",124
"Executive",0
"General Population",969.4
"Government",474.3
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",19
"International Religious",26
"Labor",25.2
"Local",0
"Media",15
"Medical",19
"Military",67.6
"Muslim",21
"National Religious",0
"News",0
"Nongovernmental Organization (International)",37
"Nongovernmental Organizations",0
"Parties",29
"Police",28
"Protestors",0
"Provincial",0
"Radicals",49
"Rebel",60
"Social",257.2
"Unidentified Forces",778.5
