"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",27.2
"Defense",0
"Dissident",0
"Education",0
"Elite",0
"Executive",0
"General Population",0
"Government",457.9
"Intelligence Ministry",0
"Interior",0
"International Religious",4.2
"Judicial",0
"Kurd (Ethnic Group)",0
"Labor",67.2
"Legal",0
"Legislative",0
"Local",4.2
"Media",0
"Medical",0
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",1.2
"Police",323.2
"Protestors",0
"Provincial",5.2
"Radicals",0
"Rebel",0
"Social",1267.6
"Sunni",0
"Unidentified Forces",202.2
