"TSectors","Intensity"
"(National) Minor Party",96.7
"Air Force",0
"Army",98.7
"Business",101.7
"Center Right",0
"Centrist",0
"Criminals",0
"Dissident",322.7
"Education",106.7
"Executive",0
"General Population",429.1
"Government",900.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",114.9
"Local",0
"Media",0
"Medical",111.7
"Military",0
"Muslim",89.7
"National Religious",94.7
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",206.3
"Protestors",72.2
"Provincial",0
"Radicals",106.7
"Rebel",114.7
"Social",318.1
"Unidentified Forces",592.7
