"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",27
"Business",22
"Center Right",0
"Centrist",0
"Criminals",85
"Dissident",103
"Education",0
"Executive",17
"General Population",339.8
"Government",87.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",35
"International Ethnic",10
"International Religious",8
"Labor",0
"Local",0
"Media",47
"Medical",43
"Military",117.5
"Muslim",60
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",15.2
"Police",150.2
"Protestors",0
"Provincial",0
"Radicals",52
"Rebel",58
"Social",1328.6
"Unidentified Forces",604.2
