"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",4
"Center Right",0
"Centrist",0
"Criminals",0
"Dissident",72
"Education",17
"Executive",0
"General Population",277.1
"Government",143.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",45.4
"International Religious",0
"Labor",3.2
"Local",0
"Media",5
"Medical",71.5
"Military",87
"Muslim",7
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",649.6
"Police",0
"Protestors",0
"Provincial",0
"Radicals",7
"Rebel",17
"Social",311.6
"Unidentified Forces",137.2
