"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",7
"Center Right",3
"Centrist",0
"Criminals",0
"Dissident",445.6
"Education",0
"Executive",16
"General Population",0
"Government",827.700000000001
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",8.2
"Labor",7
"Local",0
"Media",0
"Medical",0
"Military",468.4
"Muslim",0
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",10
"Parties",10
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",80
"Social",941
"Unidentified Forces",1786.3
