"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",58.3
"Criminals",0
"Defense",0
"Dissident",789.2
"Education",403.5
"Elite",0
"Executive",0
"General Population",0
"Government",2105.6
"Intelligence Ministry",0
"Interior",0
"International Religious",33.1
"Judicial",40.1
"Kurd (Ethnic Group)",0
"Labor",21.1
"Legal",36.1
"Legislative",0
"Local",0
"Media",34.1
"Medical",0
"Military",0
"Muslim",729.3
"National Religious",0
"Nongovernmental Organizations",0
"Parties",0
"Police",0
"Protestors",0
"Provincial",46.7
"Radicals",112.1
"Rebel",0
"Social",1538.3
"Sunni",0
"Unidentified Forces",1545.5
