"TSectors","Intensity"
"Agricultural",20.2
"Banned Parties",0
"Business",63
"Criminals",0
"Defense",0
"Dissident",477.5
"Education",1
"Elite",0
"Executive",0
"General Population",0
"Government",1759.4
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",61
"Kurd (Ethnic Group)",0
"Labor",26.6
"Legal",20.6
"Legislative",0
"Local",0
"Media",32.8
"Medical",0
"Military",0
"Muslim",155
"National Religious",0
"Nongovernmental Organizations",0
"Parties",18.6
"Police",0
"Protestors",0
"Provincial",18.8
"Radicals",0
"Rebel",0
"Social",1682.6
"Sunni",0
"Unidentified Forces",1209.8
