"TSectors","Intensity"
"Agricultural",47
"Banned Parties",0
"Business",54
"Criminals",25
"Defense",6
"Dissident",0
"Education",26
"Elite",3.1
"Executive",0
"General Population",1216
"Government",535.9
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",9
"Kurd (Ethnic Group)",0
"Labor",25
"Legal",0
"Legislative",0
"Local",0
"Media",55
"Medical",0
"Military",360.5
"Muslim",0
"National Religious",19
"Nongovernmental Organizations",37
"Parties",11
"Police",679.4
"Protestors",7
"Provincial",0
"Radicals",0
"Rebel",0
"Social",45.5
"Sunni",0
"Unidentified Forces",234
