"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",61.7
"Defense",0
"Dissident",421.3
"Education",0
"Elite",0
"Executive",0
"General Population",1088.3
"Government",512.900000000001
"Intelligence Ministry",0
"Interior",0
"International Religious",10.3
"Judicial",11.3
"Kurd (Ethnic Group)",36.7
"Labor",0
"Legal",2.3
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",544.1
"National Religious",0
"Nongovernmental Organizations",0
"Parties",49.4
"Police",0
"Protestors",0
"Provincial",45.3
"Radicals",0
"Rebel",0
"Social",132
"Sunni",0
"Unidentified Forces",563.4
