"TSectors","Intensity"
"(National) Minor Party",2.1
"Air Force",0
"Army",0
"Business",1.5
"Center Right",0
"Centrist",3.5
"Criminals",0
"Dissident",264.5
"Education",0
"Executive",0
"General Population",0
"Government",132.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",0
"Media",33
"Medical",0
"Military",123.1
"Muslim",29.8
"National Religious",64.9
"News",4.5
"Nongovernmental Organization (International)",11.5
"Nongovernmental Organizations",0
"Parties",51.5
"Police",296.7
"Protestors",57.9
"Provincial",0
"Radicals",0
"Rebel",0
"Social",1052.7
"Unidentified Forces",682.1
