"TSectors","Intensity"
"(National) Minor Party",14
"Air Force",0
"Army",0
"Business",0.6
"Center Right",0
"Centrist",0
"Criminals",62
"Dissident",9
"Education",33
"Executive",3.2
"General Population",447.2
"Government",503.2
"Human Rights IGOs",0
"Human Rights NGOs",11
"Insurgents",0
"International Ethnic",0
"International Religious",33
"Labor",6
"Local",0
"Media",4.6
"Medical",0
"Military",4.7
"Muslim",18
"National Religious",11
"News",0
"Nongovernmental Organization (International)",6
"Nongovernmental Organizations",0
"Parties",4
"Police",47.1
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",12
"Social",203.3
"Unidentified Forces",79
