"TSectors","Intensity"
"Agricultural",0
"Banned Parties",23
"Business",0
"Criminals",65.8
"Defense",0
"Dissident",77.6
"Education",34
"Elite",0
"Executive",17.1
"General Population",426.5
"Government",1431.1
"Intelligence Ministry",0
"Interior",19.6
"International Religious",315.2
"Judicial",15
"Kurd (Ethnic Group)",0
"Labor",36
"Legal",0
"Legislative",13.2
"Local",0
"Media",21.5
"Medical",0
"Military",124.6
"Muslim",13.5
"National Religious",91
"Nongovernmental Organizations",0
"Parties",11.2
"Police",438.1
"Protestors",27
"Provincial",16
"Radicals",0
"Rebel",83
"Social",942.9
"Sunni",0
"Unidentified Forces",1581.1
