"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",10
"Business",33
"Center Right",13
"Centrist",21.6
"Criminals",0
"Dissident",151
"Education",13
"Executive",8
"General Population",282.1
"Government",346.7
"Human Rights IGOs",71
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",12
"International Religious",13
"Labor",13
"Local",6
"Media",0
"Medical",0
"Military",95
"Muslim",13
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",13.4
"Parties",0
"Police",231.7
"Protestors",0
"Provincial",13
"Radicals",21
"Rebel",23
"Social",224
"Unidentified Forces",178.2
