"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",13.2
"Center Right",14.4
"Centrist",30.3
"Criminals",0
"Dissident",357.2
"Education",0
"Executive",0
"General Population",801.5
"Government",924.3
"Human Rights IGOs",24.8
"Human Rights NGOs",0
"Insurgents",48.8
"International Ethnic",82.8
"International Religious",18.2
"Labor",59.8
"Local",14.8
"Media",1.4
"Medical",0
"Military",0
"Muslim",0
"National Religious",14.8
"News",0
"Nongovernmental Organization (International)",23.8
"Nongovernmental Organizations",0
"Parties",18.6
"Police",77.4
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",422.5
"Unidentified Forces",743.8
