"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",1
"Centrist",0
"Criminals",86
"Dissident",97
"Education",45
"Executive",0
"General Population",402.9
"Government",611.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",2.2
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",81.2
"Media",9
"Medical",0
"Military",0
"Muslim",24
"National Religious",0
"News",0
"Nongovernmental Organization (International)",14
"Nongovernmental Organizations",14
"Parties",24.6
"Police",0
"Protestors",0
"Provincial",0
"Radicals",17
"Rebel",15
"Social",363.2
"Unidentified Forces",232.4
