"TSectors","Intensity"
"(National) Minor Party",23
"Air Force",22
"Army",18
"Business",0
"Center Right",0
"Centrist",86
"Criminals",33.4
"Dissident",151
"Education",0
"Executive",15.5
"General Population",0
"Government",551.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",28
"International Religious",93.5
"Labor",22
"Local",0
"Media",16
"Medical",0
"Military",0
"Muslim",27
"National Religious",33
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",47.6
"Police",81
"Protestors",45
"Provincial",0
"Radicals",20
"Rebel",18
"Social",570.3
"Unidentified Forces",336
