"TSectors","Intensity"
"(National) Minor Party",8
"Air Force",0
"Army",1.2
"Business",38
"Center Right",7
"Centrist",4.5
"Criminals",24
"Dissident",80.4
"Education",0
"Executive",18
"General Population",383.1
"Government",134.2
"Human Rights IGOs",9
"Human Rights NGOs",0
"Insurgents",19
"International Ethnic",9
"International Religious",38
"Labor",18
"Local",0
"Media",12
"Medical",0
"Military",119.8
"Muslim",18
"National Religious",14
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",9
"Parties",34.6
"Police",70.7
"Protestors",9
"Provincial",0
"Radicals",19
"Rebel",38
"Social",364
"Unidentified Forces",325.5
