"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",161.4
"Army",180.4
"Business",0
"Center Right",142.9
"Centrist",0
"Criminals",170.4
"Dissident",476.4
"Education",0
"Executive",154.4
"General Population",163.4
"Government",139.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",158.4
"Media",0
"Medical",0
"Military",442.7
"Muslim",0
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",174.6
"Parties",209.5
"Police",287.2
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",2398
"Unidentified Forces",1020
