"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",8
"Criminals",0
"Defense",0
"Dissident",252.6
"Education",75
"Elite",0
"Executive",0
"General Population",0
"Government",1211.2
"Intelligence Ministry",0
"Interior",0
"International Religious",3
"Judicial",7
"Kurd (Ethnic Group)",0
"Labor",17
"Legal",16
"Legislative",0
"Local",0
"Media",13.2
"Medical",0
"Military",0
"Muslim",11
"National Religious",0
"Nongovernmental Organizations",0
"Parties",19.6
"Police",0
"Protestors",0
"Provincial",0
"Radicals",22
"Rebel",0
"Social",1721
"Sunni",0
"Unidentified Forces",888
