"TSectors","Intensity"
"(National) Minor Party",19.8
"Air Force",0
"Army",38.4
"Business",22.2
"Center Right",14.2
"Centrist",0
"Criminals",111.4
"Dissident",17.2
"Education",22.2
"Executive",0
"General Population",1049
"Government",160.9
"Human Rights IGOs",22.2
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",35.8
"Labor",14.2
"Local",0
"Media",17.7
"Medical",21.2
"Military",69.6
"Muslim",0
"National Religious",42.4
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",10
"Police",57.8
"Protestors",0
"Provincial",0
"Radicals",27.2
"Rebel",21.2
"Social",213.4
"Unidentified Forces",228.4
