"TSectors","Intensity"
"(National) Minor Party",85.4
"Air Force",78.9
"Army",83.9
"Business",0
"Center Right",0
"Centrist",93.4
"Criminals",0
"Dissident",331.4
"Education",0
"Executive",70.4
"General Population",0
"Government",242.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",186
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",71.4
"Media",0
"Medical",0
"Military",273.1
"Muslim",0
"National Religious",0
"News",0
"Nongovernmental Organization (International)",110.4
"Nongovernmental Organizations",92.4
"Parties",0
"Police",243.3
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",1656.5
"Unidentified Forces",1193.1
