"TSectors","Intensity"
"Agricultural",10
"Banned Parties",0
"Business",16
"Criminals",21
"Defense",0
"Dissident",117
"Education",0
"Elite",0
"Executive",0
"General Population",1213.2
"Government",557.9
"Intelligence Ministry",0
"Interior",0
"International Religious",21
"Judicial",0
"Kurd (Ethnic Group)",20.2
"Labor",33
"Legal",0
"Legislative",0
"Local",0
"Media",21
"Medical",0
"Military",0
"Muslim",24
"National Religious",44
"Nongovernmental Organizations",0
"Parties",6
"Police",0
"Protestors",0
"Provincial",0
"Radicals",1
"Rebel",215
"Social",43.8
"Sunni",0
"Unidentified Forces",243.3
