"TSectors","Intensity"
"Agricultural",13.5
"Banned Parties",23.5
"Business",4.1
"Criminals",89.5
"Defense",0
"Dissident",290.5
"Education",21.5
"Elite",33.3
"Executive",3.5
"General Population",1483.2
"Government",1612.6
"Intelligence Ministry",14.5
"Interior",0
"International Religious",21.5
"Judicial",0
"Kurd (Ethnic Group)",23.5
"Labor",13.5
"Legal",1.5
"Legislative",0
"Local",0
"Media",5.8
"Medical",4.5
"Military",0
"Muslim",13.5
"National Religious",277.5
"Nongovernmental Organizations",0
"Parties",16.5
"Police",278.3
"Protestors",0
"Provincial",0
"Radicals",36.5
"Rebel",66.5
"Social",1504.7
"Sunni",4.5
"Unidentified Forces",679.3
