"TSectors","Intensity"
"Agricultural",0
"Banned Parties",8
"Business",12
"Criminals",18
"Defense",2
"Dissident",202.1
"Education",30.2
"Elite",0
"Executive",0
"General Population",760.1
"Government",249.4
"Intelligence Ministry",0
"Interior",2
"International Religious",0
"Judicial",77
"Kurd (Ethnic Group)",7
"Labor",0
"Legal",0
"Legislative",2
"Local",0
"Media",0
"Medical",0
"Military",66.5
"Muslim",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",4
"Police",133
"Protestors",12.6
"Provincial",0
"Radicals",3
"Rebel",18
"Social",41
"Sunni",2
"Unidentified Forces",35
