"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",18.4
"Dissident",369.2
"Education",81.2
"Exiles",0
"Far Left",30
"Fundamentalist",0
"General Population",508.6
"Government",97.3
"Human Rights IGOs",9
"Human Rights NGOs",0
"Information",4
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",0
"Military",142.7
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",10
"Police",216.1
"Protestors",110
"Radicals",4
"Radio News",0
"Rebel",0
"Social",96.5
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
