"TSectors","Intensity"
"(National) Minor Party",23.8
"Air Force",144.8
"Army",0
"Business",6.2
"Center Right",0
"Centrist",14.8
"Criminals",0
"Dissident",185.8
"Education",0
"Executive",11.8
"General Population",442.5
"Government",249.7
"Human Rights IGOs",14.8
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",5.8
"Labor",7.8
"Local",0
"Media",4.9
"Medical",14.8
"Military",103.8
"Muslim",1.4
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",11.8
"Parties",23.3
"Police",118.3
"Protestors",5.8
"Provincial",0
"Radicals",0
"Rebel",15.8
"Social",131.8
"Unidentified Forces",294.4
