"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",0
"Centrist",0
"Criminals",0
"Dissident",426.3
"Education",37.5
"Executive",0
"General Population",0
"Government",364.9
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",6.5
"Local",0
"Media",0
"Medical",0
"Military",97.1
"Muslim",12.5
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",6.5
"Parties",88.5
"Police",0
"Protestors",0
"Provincial",0
"Radicals",22.5
"Rebel",0
"Social",1231.7
"Unidentified Forces",1146.3
