"TSectors","Intensity"
"(National) Minor Party",29.3
"Air Force",9.8
"Army",0
"Business",0
"Center Right",11.8
"Centrist",11.8
"Criminals",0
"Dissident",100.8
"Education",39.8
"Executive",3.4
"General Population",0
"Government",268.9
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",34.4
"Labor",0
"Local",8.8
"Media",0
"Medical",0
"Military",0
"Muslim",3
"National Religious",14.8
"News",0
"Nongovernmental Organization (International)",27.8
"Nongovernmental Organizations",0
"Parties",24.4
"Police",21.4
"Protestors",36.8
"Provincial",0
"Radicals",0
"Rebel",9.8
"Social",609.4
"Unidentified Forces",211
