"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",1451.8
"Education",32.9
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",1437.9
"Government",1476.2
"Human Rights IGOs",55
"Human Rights NGOs",8
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",20
"Labor NGOs",0
"Legal",0
"Media",21.8
"Military",34.5
"Military Intelligence",0
"National",5.3
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",8
"Police",734
"Protestors",418.6
"Radicals",0
"Radio News",0
"Rebel",4.6
"Social",499.3
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",66.6
