"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",1014.8
"Centrist",0
"Criminals",0
"Dissident",422.5
"Education",0
"Executive",15.3
"General Population",0
"Government",192.2
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",32.7
"Media",0
"Medical",0
"Military",98.1
"Muslim",33.7
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",53.7
"Parties",32.7
"Police",656.2
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",437.6
"Unidentified Forces",233.3
