"TSectors","Intensity"
"Agricultural",22.1
"Banned Parties",34.1
"Business",0
"Criminals",48.1
"Defense",0
"Dissident",100.2
"Education",0
"Elite",112.9
"Executive",38.9
"General Population",1211.3
"Government",1414
"Intelligence Ministry",0
"Interior",15.1
"International Religious",62.1
"Judicial",110.2
"Kurd (Ethnic Group)",0
"Labor",23.1
"Legal",0
"Legislative",0
"Local",20.1
"Media",0
"Medical",0
"Military",0
"Muslim",33.1
"National Religious",0
"Nongovernmental Organizations",24.1
"Parties",51.7
"Police",306.7
"Protestors",0
"Provincial",57.1
"Radicals",0
"Rebel",232.1
"Social",824.2
"Sunni",0
"Unidentified Forces",237.7
