"TSectors","Intensity"
"Agricultural",14.4
"Banned Parties",0
"Business",0
"Criminals",36.8
"Defense",0
"Dissident",13.8
"Education",0
"Elite",0
"Executive",0
"General Population",1470.8
"Government",480.300000000001
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",17.8
"Kurd (Ethnic Group)",80.2
"Labor",0
"Legal",17.8
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",769.5
"National Religious",0
"Nongovernmental Organizations",0
"Parties",11.6
"Police",0
"Protestors",0
"Provincial",1.3
"Radicals",49.8
"Rebel",0
"Social",45.4
"Sunni",0
"Unidentified Forces",986.2
