"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",13.4
"Criminals",48.4
"Defense",12.4
"Dissident",156.4
"Education",0
"Elite",0
"Executive",22.4
"General Population",1474.4
"Government",422.6
"Intelligence Ministry",0
"Interior",12.4
"International Religious",11
"Judicial",192.4
"Kurd (Ethnic Group)",0
"Labor",0
"Legal",0
"Legislative",0
"Local",30.4
"Media",10.4
"Medical",13.4
"Military",252.4
"Muslim",0
"National Religious",61.4
"Nongovernmental Organizations",22.4
"Parties",1.1
"Police",118.2
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",120
"Sunni",11.4
"Unidentified Forces",306.8
